,respid,hidsq01a,sq01,sq05b,hidsq03,sq08ax1_1,hq04a,sq04,sq10_1,sq10_2,sq10_3,sq10_4,sq10_5,sq10_6,sq10_7,sq10_8,sq10_9,sq10_10,sq10_11,sq10_12,sq10_13,sq10_14,sq10_15,sq10_16,sq10_17,sq10_18,sq10_19,sq10_20,sq10_21,sq10_22,sq10_66,sq10_23,sq10_24,sq10_25,sq10_26,sq10_27,sq10_28,sq10_29,sq10_30,sq10_31,sq10_32,sq10_33,sq10_34,sq10_35,sq10_36,sq10_37,sq10_38,sq10_39,sq10_40,sq10_41,sq10_42,sq10_43,sq10_44,sq10_45,sq10_46,sq10_47,sq10_48,sq10_49,sq10_50,sq10_51,sq10_52,sq10_53,sq10_54,sq10_55,sq10_56,sq10_57,sq10_58,sq10_59,sq10_60,sq10_61,sq10_62,sq10_63,sq10_64,sq10_65,K6b,sq08x1_1,sq08x1_2
0,12.0,3.0,2.0,2.0,4.0,25.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,5.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0
1,13.0,3.0,2.0,6.0,3.0,8.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,6.0,2.0
2,19.0,3.0,2.0,3.0,3.0,30.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,5.0,4.0,2.0,5.0,3.0,3.0,5.0,3.0,1.0,5.0,2.0,3.0,4.0,3.0,20.0,10.0
3,33.0,1.0,2.0,3.0,3.0,32.0,5.0,1.0,5.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,12.0,19.0
4,48.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,5.0,1.0,4.0,2.0,5.0,4.0,2.0,5.0,3.0,4.0,5.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0
5,49.0,3.0,2.0,2.0,4.0,25.0,1.0,2.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,4.0,5.0,2.0,1.0,5.0,5.0,4.0,2.0,2.0,1.0,5.0,1.0,1.0,4.0,2.0,4.0,2.0,5.0,4.0,2.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,15.0,5.0
6,57.0,3.0,2.0,7.0,4.0,45.0,4.0,2.0,3.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,2.0,8.0,30.0
7,74.0,2.0,1.0,2.0,2.0,70.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,10.0,20.0
8,78.0,2.0,2.0,3.0,3.0,5.0,4.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,5.0
9,80.0,3.0,1.0,4.0,3.0,70.0,1.0,2.0,5.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,5.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,3.0,2.0,1.0,5.0,4.0,3.0,1.0,3.0,10.0,10.0
10,91.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,5.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,5.0,5.0,2.0,5.0,4.0,1.0,1.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,4.0
11,98.0,3.0,2.0,2.0,3.0,46.0,2.0,2.0,1.0,4.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,12.0,24.0
12,99.0,3.0,2.0,5.0,4.0,28.0,5.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,8.0,8.0
13,106.0,3.0,2.0,1.0,2.0,40.0,1.0,2.0,3.0,5.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,5.0,2.0,1.0,5.0,2.0,4.0,2.0,1.0,2.0,1.0,5.0,3.0,2.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,24.0,16.0
14,116.0,1.0,2.0,2.0,3.0,16.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,15.0,12.0
15,119.0,1.0,2.0,1.0,3.0,25.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,10.0,15.0
16,120.0,3.0,2.0,6.0,3.0,10.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,6.0,10.0,10.0
