"I checked some stuff that they said they checked and they said full but not full like liquid for radiator like liquid for windshield like they made all the motor dirt they spoiled oil everywhere they did not clean it when they was changing oil for me the problem that I'm member with jiffylube ",Poor customer service
I paid for a tire rotation that was NOT done properly!! I scuffed my rim w/ red paint and it was on the same rim prior to the visit,Tire rotation service issue
It cost $61 for a filter and oil change which was approximately $20 more than our previous visit,Price too high
Before I went to get my oil change my car was running fine but on the way home my car started acting weird and like it wanted to die,Interior/Exterior car damage
They over charge,Price too high
Waiting room was NOT air conditioned in 90+ degree heat,Customer lounge atmosphere
"During the tire rotation process, the maintenance person had me look at my brake pads and rotars on both the front and the back",Poor customer service
"Deceptive practices, high prices and a lobby that looks like a dump",Untrustworthy\Mistrust,Price too high,Customer lounge atmosphere
"When I arrived at the Jiffy Lube on Midlothian Turnpike (Richmond VA), the technicians immediately told me that my car was lacking an air filter",Overselling-Pressure to buy
Oil was spilled when filter was removed improperly,Interior/Exterior car damage,Fuel filter replacement
"Service tech offered air filter at $10, still charged me $35",Price too high
Didn't change oil like suppose to,Poor customer service
Person filling crankcase with oil spilled the oil from the spout all over the engine block several times,Poor customer service
I had bought a groupon and it disclosed that I may have to pay additional money for more the 5qts of oil for my car,Overselling-Pressure to buy
Too expensive for just an oil change,Price too high
Would not accept coupon that was not expired and didn't specify location of coupon,Discount/coupon issue
"I have a trusted garage that I usually visit, they were not open the day I needed my oil changed",Competition-prefer local mechanic
You guys almost caught my car on fire,Interior/Exterior car damage
Deception,Untrustworthy\Mistrust
Upon arrival I was quoted 30 minutes for a brake pad change-out (front only),Service took too long
Did not have part,Item out of stock
I received a coupon from jiffy lube via email and the manager would not accept it,Discount/coupon issue
the Jiffylube before this put the cabin filter wrong and damage it  so this shop said they could not replace it,Interior/Exterior car damage,Poor customer service
Service people destroyed several things on my car the last time I was there,Interior/Exterior car damage
It was a random stop and the experience was nothing like the experience i had at another location in New Jersey,Poor customer service
Very poor service,Poor customer service
"I was asked to purchase a number of due maintainence services to which I declined, except a fuel injector cleaner",Overselling-Pressure to buy
Too expensive - I could have gotten two oil changes for what I paid at Midas,Price too high
It took an hour to change my oil and the shop wasn't even very busy,Service took too long
Oil change was over $90.00 and I was not told until after the reps already started my oil change,Didn't get customer prior approval to authorize work/expense,Price too high
"I had a scratch on my right side passenger door I know it  wasn't there when I left my house because I was going out of town, and I put my bags in my car and I would have saw when I went home and came back to my car to go out of town that's when I saw the scratch",Interior/Exterior car damage
WAY overpriced,Price too high
Basically they told me a price for the air filter change and then when I went to pay the told me it was $15 bucks more,Overcharged - charged more than was agreed on
I got a battery replaced here and left with my entire car shaking,Interior/Exterior car damage
There was no other car in the shop but mine and 4 guys managed to mess up my oil change,Poor customer service
Pricing,Price too high
Bolt holding oil pan stripped previous visit $314,Interior/Exterior car damage
The men working on my car did not install my headlights correctly,Poor customer service
Changing your prices from 40$ for an oil change to 75$ is a complete rip off,Price too high
I was not satisfied with customer service I truly believe there was no oil change in my car I was told there was a powers steering leak but yet I'm very low in engine oil which makes me believe my oil was not changed but I was charged,Oil or filter not actually replaced
After 6 days of driving  I had to get another oil change after the light in my vehicle indicated that my oil needed to be changed,Oil or filter not actually replaced
I feel I was duped into buying oil that I had never used and did not want,Overselling-Pressure to buy
They did the oil change wrong and oil leaked all in my engine no one called back,Interior/Exterior car damage
"When I returned straight home, went back out to my card had a very flat tire, I took the tore off took it to Firestone they said the value stem had been loosen",Overselling-Pressure to buy
Not that great,Other issues
The employees in the service side didn't do what was said on the analysis sheet,Misinformation about car/service needs given to customer
"After my radiator was replaced, my car was driving differently",Interior/Exterior car damage
Staff manager was on lunch break,Service took too long
I was displeased with the service I received I was in the shop for an hour just for a oil change and I was the only vehicle  there the technician indicated that they didn't have the necessary tools to take the oil filter off and I had to wait for it to be delivered,Service took too long
The price,Price too high
Window cleaning only half done,Poor customer service
Did not get good service,Poor customer service
Rude inexperienced crew,Unprofessional employees
When I got home my car was leaking oil and a gasket had been broken on the old change,Interior/Exterior car damage
Expensive,Price too high
Way too expensive!,Price too high
The on board computer systems were not updated to reflect an oil change happened,Poor customer service
"Workers lied and told me things that I really didn't need at the moment, and expected me to pay for services checking them off without even asking me",Didn't get customer prior approval to authorize work/expense,Overselling-Pressure to buy
The service team got my vehicle and another vehicle mixed up,Poor customer service
I was treated horribly,Poor customer service
Was forced into hugging one of the mechanics,Poor customer service
My tires were not inflated to the proper pressure,Poor customer service
Employees were unkept and rude,Unprofessional employees
I have used various JL's over 3 decades and this may ne the last time I do,Other issues
"The prices are higher here than the jiffy lube in Albany, NY",Price too high
Teach the people who to check tire pressure and how to tighten the oil plug lol,Employees not knowledgeable
I went there for an inspection and i failed because supposedly my struts were loose and a lug nut couldnt be taken off,Interior/Exterior car damage
My 1990 Saab was nearly destroyed by a service man who didn't know how to drive stick shift,Interior/Exterior car damage,Employees not knowledgeable
was there for over an hour,Service took too long
They added services without my consent! Period!,Didn't get customer prior approval to authorize work/expense
"During service, the tech broke the air inlet from the air filter to the throttle body and didn't tell me",Interior/Exterior car damage
They charged for items after the fact,Didn't get customer prior approval to authorize work/expense
Service was slow,Service took too long
I felt that their customer service delivery was very poor,Poor customer service,Service took too long
Staff was unprofessional,Unprofessional employees
I was told that several of my fluids were low but I told the people I would take care of them,Overselling-Pressure to buy
I'm not sure what they did on my car!,Interior/Exterior car damage
The staff upcharges,Price too high
"Because I can go to walmart to get my oil changed, and all other fluids topped off for less than a Jiffy Lube oil change",Price too high
I went in for an oil change and was told that both my alternator and my battery were shot and needed to be replaced for $400+,Overselling-Pressure to buy,Price too high
It was my 1st time at this location and they didn't top off or add any fluids,"Fluids not topped off (ie engine coolant, washer fluid)"
Too expensive,Price too high
Tire light was on when I arrived and was still on when I left,Poor customer service
For a $50! oil change ( I only received the generic oil for that price) the service was rude and my car was only partially vacuumed,Price too high,Unprofessional employees,Vacuuming not done propertly
Employees are extremely pushy about performing service that you are not there to get done,Overselling-Pressure to buy
"When you discover that the technician when crouching next to your driver's side door, lost his balance & in trying not to fall over",Unprofessional employees,Poor customer service
"It took entirely to long when I got there the lady told me I had four cars in front of me about 15 min each car, I went in for an oil change and took over 2 hrs to get to my car once they finally had my car the guy servicing had my car tilted in the bay and he wasn't sure what was being done to my car the manager told him to figure it out, to me that's horrible service I had my son with me and if I knew it was going to take that long I would have went somewhere else or came back later",Service took too long,Employees not knowledgeable
Cost,Price too high
"I do not trust the ""salesman"" named Sebastian",Untrustworthy\Mistrust
A service tech broke my oil dipstick and didn't even say anything about it,Interior/Exterior car damage
They were extremely slow - took nearly an hour for an oil change,Service took too long
Horrible customer service and all around laziness of the staff,Poor customer service,Unprofessional employees
Expensive and slow service,Price too high,Service took too long
I am a single mother and I can not afford 70 for a oil change,Price too high
They don't have a device to reset the oil light on my VW,Item out of stock
"The ""protective fender mats"" were covered in oil and covered both front fenders and hood with oil",Poor customer service
Pushy service as well as the unintelligible and hot-tempered desk clerk,Overselling-Pressure to buy,Unprofessional employees
Price too expensive,Price too high
"They didn't clean my windows nor did they vacuume the car I asked for them to check my tire pressure and I saw the man bend over and squeeze one tire with his hand as if that's checking my tires pressure , was very annoyed with the full service oil change , should be called the good enough oil change",Vacuuming not done propertly,Poor customer service,Unprofessional employees
I went to get a oil change and transmission service it should of cost 110 then I was told it would be slightly more expensive and at the end I found out it was 220 to do it,Overcharged - charged more than was agreed on
The cost was almost $100 for an oil change,Price too high
They didn't do half of what was on the recipe,Poor customer service
It's too expencive,Price too high
caused my oil get more leak,Interior/Exterior car damage
Manager at the location I went to was a total Jerk,Unprofessional employees
"I purchased a windshield wiper, which was overpriced to begin with, I drove away and got about five miles down the road and went to use the wiper and it flew off",Wiper replacement issues,Price too high
When I was cashing out the technician said they could not accept my Jiffy Lube Car Care One credit card,Discount/coupon issue
Cause I don't like the welcome and the service seem wasn't complete in timely fashion,Service took too long,Unprofessional employees
I had cash and my USB cord that hooks from my iPhone to my car stolen,Item missing/stolen
"I was from out of state, needed an oil change, went to Jiffy Lube and was charged $91 for oil change",Price too high
One of the mechanics cut their finger in my car and left blood on a shopping bag I had inside my car,Poor customer service
None of the service members could clear the maintenance needed window,Poor customer service,Employees not knowledgeable
Total disregard for my time,Service took too long
It took 30 minutes for the lady behind the front desk to aknowledge I was there,Service took too long,Unprofessional employees
I was taken advantage of! Walk in with a $20 groupon told me I couldn't use it while they already did my car! I was forced to pay 88$ My car wasn't even vacuumed which they claimed they did ! It was raining they wiped my back window and left smuge all over it so I can't see out of it! As well as they never checked my air pressure because later that night I had to and it was low!!!! What a scam & a rip off!!!!,Vacuuming not done propertly,Discount/coupon issue,Poor customer service
I asked them to refill my windshield washer fluid and they said they did but it was empty when I checked later that day,"Fluids not topped off (ie engine coolant, washer fluid)"
"The oil change is to much, I can take it some were else",Price too high
Prices,Price too high
"It took an hour and a half for an oil change, tire rotation, and inspection",Service took too long
"left car , was told I would be called when finished, no one called",Unprofessional employees,Poor customer service
"Well yesterday, cars that were in the back of me got pushed in front of me",Later-arriving customers served ahead of me
"I dropped off my truck and asked to be called when done, that was not done",Unprofessional employees,Poor customer service
The cost of the service is completely ridiculous,Price too high
The Bedford location has been getting a little aggressive with their upsale tactics,Overselling-Pressure to buy
"The man in the reception, I think his name is David, was rude disrespectful & condescending",Unprofessional employees
you did a tire rotation and broke one of the screws that holds the tire in place,Interior/Exterior car damage,Tire rotation service issue
Poor floor management resulted in excessive waiting time,Service took too long,Unprofessional employees
Mechanic continue to up-sale on unnecessary vehicle needs,Overselling-Pressure to buy
Customer service was awful asking questions about my car no one had answers,Poor customer service
"$96.00 for an oil change",Price too high
"I paid for the signature change that includes a tire rotation, car vacuum and exterior window cleaning and none of those were done",Other issues
"Over priced, straight mineral oil not offered nor available",Price too high,Item out of stock
Waiting for parts from a parts store,Item out of stock
Misled by a coupon,Discount/coupon issue
Over priced for very little necessary work,Price too high
When the tech checked my cabin filter he left his rag in it when he put it back in place and when I turned my A/C fan on it made a horiffic noise,Air condition service,Poor customer service
The services that are included in oil change price were not performed,Doubt
Exterior windows were not cleaned and tire pressure was not checked,Poor customer service,Other issues
The customer service was very poor,Poor customer service
Took forever even though when I arrived there was no one else there,Service took too long
"While replacing wiper blades, the tech cracked my windshield",Interior/Exterior car damage,Wiper replacement issues
I don't believe in adding things to a bill that is not requested,Didn't get customer prior approval to authorize work/expense
My experience started off with me coming in and using my coupon that was emailed to me for $15 off signature oil change and was told that was only for synthetic and could only get $10 for motor oil which the coupon seemed to have said it covered,Discount/coupon issue
"They checked off that they did things and they did not vacuum, wash wondows,  power steering level low as was antifreeze",Vacuuming not done propertly,Poor customer service
Led to believe car needed synthetic oil when it only requires conventional,Overselling-Pressure to buy
Untrustworthy,Untrustworthy\Mistrust
They tried to sell me services I didn't need,Overselling-Pressure to buy
"The fact that we have been a customer for many years, on the last visit I was not asked about anything that needed to be done on the vehicle and then they simply checked off declined for vacuuming and washing the windows",Poor customer service
Had some coins stolen out of the dash during my vehicle inspection,Item missing/stolen
The service man behaved in an arrogant manner never answered my questions clearly,Unprofessional employees
Everything was a little disorganized,Other issues
Poorly treated by Phil when I presented a coupon,Unprofessional employees,Discount/coupon issue
The store is very understaffed,Other service issues
"The guy was extremely rude, kept trying to push me to get things I didn't really need",Unprofessional employees,Overselling-Pressure to buy
Tried to sell me a battery I don't need,Overselling-Pressure to buy
