,review,review header,sentiments,sentiment label
0,All of the people working there were very friendly and were quick and efficient,Friendly,0.7425,Very Positive
1,The technician was very helpful and quick with my safety inspection,Good customer service,0.7089,Very Positive
2,Quick and friendly crew,Fast/Quick/Speedy/Timely,0.4939,Positive
3,"Excellent, Service and Professional!",Good customer service,0.6114,Very Positive
4,Very fast,Fast/Quick/Speedy/Timely,0.0,Neutral
5,This specific Jiffy Lube does an amazing job every time I go,Good customer service,0.5859,Very Positive
6,They were very fast friendly and helpful,Friendly,0.7414,Very Positive
7,I have always had good experiences and customer service at Jiffy Lube,Good customer service,0.4404,Positive
8,Just doing service litlle more faster but other that really good service and really nice all,Fast/Quick/Speedy/Timely,0.8566,Very Positive
9,"People are friendly, polite, and very fast and efficient",Friendly,0.7402,Very Positive
10,Location and outstanding customer service,Convenient,0.6124,Very Positive
11,very helpful people there they know what they doing,Knowledgeable employees,0.4754,Positive
12,"Everything was great, except they wipe my windows off with greasy rags",Good customer service,0.6249,Very Positive
13,Everything was taken care of,Good customer service,0.4939,Positive
14,Convenient,Convenient,0.0,Neutral
15,Friendly service and fast as well,Friendly,0.6486,Very Positive
16,"Every time I come here, all of my issues I want addressed do get addressed",Good customer service,0.0772,Positive
17,Friendlyness and Prices,Friendly,0.0,Neutral
18,"I only got an oil change, so I am unsure how jiffy will perform other maintenance",Other,-0.3134,Negative
19,"Staff was efficient, friendly, and knowledgeable",Friendly,0.7184,Very Positive
20,Courteous employees!!!,Courtesy,0.6341,Very Positive
21,The staff was extremely knowledgeable and friendly,Friendly,0.5367,Very Positive
22,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
23,"Where I am when I need the service, here in Fort Collins or somewhere else in the country",Convenient,0.0,Neutral
24,I have a regular repair service,Other,0.0,Neutral
25,"Customer service is great, they are nice and do a great job",Good customer service,0.9001,Very Positive
26,Service was timely,Fast/Quick/Speedy/Timely,0.0,Neutral
27,Have been twice,Other,0.0,Neutral
28,Not sure of all the sevices Jiffy Lube provides,Other,-0.2411,Negative
29,The customer service skills and experience was great,Good customer service,0.6249,Very Positive
30,I have a service plan with my car,Other,0.0,Neutral
31,Jiffy lube is fast and I trust the crew to inform me of my options if needed,Fast/Quick/Speedy/Timely,0.5106,Very Positive
32,"Quick service, friendly employees",Fast/Quick/Speedy/Timely,0.4939,Positive
33,"I have a mechanic that does most repairs, but I use Jiffy lube to do my oil changes",Other,0.0,Neutral
34,I will for sure,Other,0.3182,Positive
35,Prompt and courtesy,Fast/Quick/Speedy/Timely,0.3612,Positive
36,Location,Convenient,0.0,Neutral
37,They are quick,Fast/Quick/Speedy/Timely,0.0,Neutral
38,They let you know what needs you be done and let you know how much it will cost,Cost,0.0,Neutral
39,Just depends on what I might need and the pricing,Fair price,0.0,Neutral
40,Quick and friendly service,Fast/Quick/Speedy/Timely,0.4939,Positive
41,I believe the manager name was Paul,Other,0.0,Neutral
42,"Hayden had exceptional customer service ! Very pleasant , courteous and explain the products well !",Good customer service,0.8707,Very Positive
43,The great service,Good customer service,0.6249,Very Positive
44,"Very courteous, explaining things to me and patient with me",Courtesy,0.5563,Very Positive
45,Family owns jiffy lubes in another area,Other,0.0,Neutral
46,Pricing,Fair price,0.0,Neutral
47,Air filter replacement cost $50 for a $10 part,Cost,0.0,Neutral
48,Great,Good customer service,0.6249,Very Positive
49,fast and nice,Fast/Quick/Speedy/Timely,0.4215,Positive
50,Great service at a fair price,Good customer service,0.7506,Very Positive
51,I've been a customer for 15+ years and have never had a bad experience,Good customer service,0.431,Positive
52,Professional services and courteous attitudes,Professional,0.5106,Very Positive
53,It depends on what I need done,Convenient,0.0,Neutral
54,Never needed maintenance work done there,Other,0.0,Neutral
55,Got a mechanic in the family,Other,0.0,Neutral
56,They have good service and affordable prices,Good customer service,0.4404,Positive
57,Depends on the type of service needed and the cost,Convenient,0.0,Neutral
58,I usually only come in for oil changes,Have equipment needed,0.0,Neutral
59,"I had my tires done today (Saturday, 24) amazing work, Jarvis in The Frederick, Maryland region was great especially answering my questions",Good customer service,0.836,Very Positive
60,I think of Jiffy Lube when I need an oil change,Have equipment needed,0.0,Neutral
61,They were efficient and friendly,Friendly,0.7184,Very Positive
62,Efficient and respectful workers,Courtesy,0.7003,Very Positive
63,I have not used Jiffy Lube for anything other than an oil change so I am unfamiliar with their level of expertise in routine maintenance,Other,0.0,Neutral
64,"The fact that you can get the service, in a relatively short time, without an appointment",Fast/Quick/Speedy/Timely,0.0,Neutral
65,Systematic care for my care,Good customer service,0.7506,Very Positive
66,"The service representative very clearly communicated the service recommended for my vehicle according to manufacturer specifications, the nature of the service required and at what mileage the car should be serviced",Knowledgeable employees,0.5849,Very Positive
67,I've been taking my car there for years at the west Patrick in Frederick md location and Ive always paid for the signature services and had my car vacuumed out and this time they only vacuumed the floor and I asked if they can vacuum the back seat and the guy looked at me funny and stated that they don't normally do that but will do it this time,Good customer service,0.2382,Positive
68,Depending on the service I may check to see if other places will offer routine maintenance at a lower price,Fair price,-0.296,Negative
69,The prices,Fair price,0.0,Neutral
70,Very Fast less than 10 minutes and done right,Fast/Quick/Speedy/Timely,0.0,Neutral
71,Good service friendly staff and quick service,Friendly,0.7269,Very Positive
72,Prompt and polite service,Courtesy,0.0,Neutral
73,Quick and good service,Fast/Quick/Speedy/Timely,0.4404,Positive
74,Yes,Other,0.4019,Positive
75,Service,Good customer service,0.0,Neutral
76,Great customer service,Good customer service,0.6249,Very Positive
77,Quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
78,Everyone was super friendly and gave fast service,Friendly,0.7964,Very Positive
79,Very nice employees,Friendly,0.4754,Positive
80,Very friendly came to the car opened the vacuumed the car,Friendly,0.5413,Very Positive
81,"Fast , easy  ",Fast/Quick/Speedy/Timely,0.4404,Positive
82,Always friendly and professional,Friendly,0.4939,Positive
83,All employees I came in contact with were pleasant and answered all my questions,Knowledgeable employees,0.5106,Very Positive
84,"I only do oil changes there, I leave everything else to my mechanic",Have equipment needed,-0.0516,Negative
85,EVERYONE WAS CURTIOUS AND PROFESSIONAL,Courtesy,0.0,Neutral
86,I get my state inspection there,Other,0.0,Neutral
87,I always receive quick friendly service and the job is done right,Fast/Quick/Speedy/Timely,0.4939,Positive
88,Oil change and filters,Have equipment needed,0.0,Neutral
89,Quick and friendly,Fast/Quick/Speedy/Timely,0.4939,Positive
90,Great service!!!,Good customer service,0.7163,Very Positive
91,informative about what they were doing and very courtesy,Knowledgeable employees,0.4201,Positive
92,Cheaper than other places,Cost,0.0,Neutral
93,Great service and prices,Good customer service,0.6249,Very Positive
94,Was not aware Jiffy Lube provided service beyond oil change,Other,0.0,Neutral
95,"good service, fast",Good customer service,0.4404,Positive
96,very pleased,Good customer service,0.4927,Positive
97,Everyone was nice and smiling!,Friendly,0.7263,Very Positive
98,THe way your members went out of their way to explain things to me,Knowledgeable employees,0.0,Neutral
99,Only because one bad Apple will not ruin the tree,Other,-0.1098,Negative
100,"Professional service, did not push on extras regarding maintenance",Professional,0.0,Neutral
101,Everyone there was super friendly and helpful,Friendly,0.872,Very Positive
102,Jiffy Lube checked my air filter and my cabin filter,Good customer service,0.0,Neutral
103,"I've always gotten my oilchange with the Jiffy Lube,",Have equipment needed,0.0,Neutral
104,I have been a Jiffy Lube customer since 2001 and have always received excellent service,Good customer service,0.5719,Very Positive
105,"I usually change my own oil, but sometimes I don't have the time",Convenient,0.0,Neutral
106,The new manager,Good customer service,0.0,Neutral
107,Work was done well and fast,Good customer service,0.2732,Positive
108,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
109,Manager's personal attention,Good customer service,0.0,Neutral
110,They always explain everything and don't try and sell me stuff I DON'T need,Professional,0.0,Neutral
111,Very pleased with the overall visit,Good customer service,0.4927,Positive
112,Very polite and professional,Professional,0.0,Neutral
113,The cost,Cost,0.0,Neutral
114,The guys were so nice and explained about my vehicle engine and how things worked,Knowledgeable employees,0.5598,Very Positive
115,"People are very nice, sales wasn't pushy at all",Friendly,0.6003,Very Positive
116,Friendly service,Friendly,0.4939,Positive
117,Very fast turn around time and professional staff,Fast/Quick/Speedy/Timely,0.0,Neutral
118,Dan is the man,Good customer service,0.0,Neutral
119,They were pleasant,Friendly,0.5106,Very Positive
120,"Great, Fast service!!!",Good customer service,0.7163,Very Positive
121,The personnel are very quick and courteous with my car and it gets a thorough work over,Fast/Quick/Speedy/Timely,0.552,Very Positive
122,They were a nice bunch of guys,Good customer service,0.4215,Positive
123,Very nice people working there,Friendly,0.4754,Positive
124,The big guy Tyler I believe was his name,Other,0.0,Neutral
125,I mostly use JL for oil changes only,Have equipment needed,0.0,Neutral
126,How friendly and fast they are at changing my oil,Friendly,0.4939,Positive
127,They had very good communication and they were willing to work with me on the price,Professional,0.4927,Positive
128,Cost,Cost,0.0,Neutral
129,Trusted employees,Trustworthy,0.4767,Positive
130,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
131,Fast,Fast/Quick/Speedy/Timely,0.0,Neutral
132,They were very throu and went above and beyond to make sure my car got the service of needed,Courtesy,0.3182,Positive
133,I have never used jiffy lube for anything else either than oil change,Other,0.0,Neutral
134,The service,Good customer service,0.0,Neutral
135,"Everyone was very helpful, friendly and efficient",Friendly,0.8545,Very Positive
136,Very good customer service,Good customer service,0.4927,Positive
137,Fast quality service,Fast/Quick/Speedy/Timely,0.0,Neutral
138,Attendant was very professional,Professional,0.0,Neutral
