,review,review header,sentiments,sentiment label
0,I checked some stuff that they said they checked and they said full but not full like liquid for radiator like liquid for windshield like they made all the motor dirt they spoiled oil everywhere they did not clean it when they was changing oil for me the problem that I'm member with jiffylube ,Other service issues,-0.948,Very Negative
1,I paid for a tire rotation that was NOT done properly!! I scuffed my rim w/ red paint and it was on the same rim prior to the visit,Tire rotation service issue,0.0,Neutral
2,Too expensive,Price too high,0.0,Neutral
3,It cost $61 for a filter and oil change which was approximately $20 more than our previous visit,Price too high,0.0,Neutral
4,I have my own mechanic,Competition-prefer local mechanic,0.0,Neutral
5,Before I went to get my oil change my car was running fine but on the way home my car started acting weird and like it wanted to die,Other service issues,-0.5789,Very Negative
6,My experience was great until checkout,Other issues,0.6249,Very Positive
7,"I have a mechanic that does most repairs, but I use Jiffy lube to do my oil changes",Competition-prefer local mechanic,0.0,Neutral
8,My car was running fine when I brought it into Jiffy Lube,Other service issues,0.2023,Positive
9,"All I wanted was an oil change, and being young I feel like Your workers started pulling apart my car to get more money out of me",Customer felt threatened,0.3612,Positive
10,They over charge,Overcharged - charged more than was agreed on,0.0,Neutral
11,Air filter replacement cost $50 for a $10 part,Price too high,0.0,Neutral
12,"Because I was told one thing at the counter by a Mechanic , and when I went to pay it was totally different ,",Overcharged - charged more than was agreed on,-0.1027,Negative
13,"I only do oil changes there, I leave everything else to my mechanic",Competition-prefer local mechanic,-0.0516,Negative
14,To much up sell,Overselling-Pressure to buy,0.0,Neutral
15,"During the tire rotation process, the maintenance person had me look at my brake pads and rotars on both the front and the back",Tire rotation service issue,0.0,Neutral
16,I will not return to this location,Other service issues,0.0,Neutral
17,"Deceptive practices, high prices and a lobby that looks like a dump",Price too high,0.0,Neutral
18,use a dealership,Competition-prefer other car care chain,0.0,Neutral
19,Oil was spilled when filter was removed improperly,Oil filter issue,0.0,Neutral
20,"Service tech offered air filter at $10, still charged me $35",Overcharged - charged more than was agreed on,-0.2023,Negative
21,Didn't change oil like suppose to,Oil or filter not actually replaced,-0.2755,Negative
22,Person filling crankcase with oil spilled the oil from the spout all over the engine block several times,Other service issues,-0.4404,Negative
23,Car doesn't run right,Other service issues,0.0,Neutral
24,Too expensive for just an oil change,Price too high,0.0,Neutral
25,Another company handles most of my automotive needs,Competition-prefer other car care chain,0.0,Neutral
26,Would not accept coupon that was not expired and didn't specify location of coupon,Discount/coupon issue,-0.2924,Negative
27,Would rather go to a full service shop for other maintenance,Competition-prefer other car care chain,0.0,Neutral
28,I have a friend that is my mechanic for anything beyond an oil change,Competition-prefer local mechanic,0.4939,Positive
29,"I have a trusted garage that I usually visit, they were not open the day I needed my oil changed",Competition-prefer local mechanic,0.4767,Positive
30,There was oil all over my engine,Other service issues,0.0,Neutral
31,You guys almost caught my car on fire,Other service issues,-0.34,Negative
32,"I go to Jiffy Kube for oil changes only, and I hate it when they try to sell me other services",Overselling-Pressure to buy,-0.5719,Very Negative
33,Because I take my truck to  my mechanic for mechanical work,Competition-prefer local mechanic,0.0,Neutral
34,I have a regular mechanic,Competition-prefer local mechanic,0.0,Neutral
35,Upon arrival I was quoted 30 minutes for a brake pad change-out (front only),Service took too long,0.0,Neutral
36,Did not have part,Item out of stock,0.0,Neutral
37,I received a coupon from jiffy lube via email and the manager would not accept it,Discount/coupon issue,-0.2924,Negative
38,i will go for a oil change but not other service,Other service issues,0.0,Neutral
39,I was quoted $99 and 25-30 minutes to replace 1 belt,Service took too long,0.0,Neutral
40,the Jiffylube before this put the cabin filter wrong and damage it  so this shop said they could not replace it,Competition-prefer other car care chain,-0.743,Very Negative
41,Go to Toyota dealer,Competition-prefer other car care chain,0.0,Neutral
42,A lot of upselling,Overselling-Pressure to buy,0.0,Neutral
43,New car under full warranty,Competition-prefer other car care chain,0.0,Neutral
44,"I usually get my car needs, including my oil change from Mr",Competition-prefer other car care chain,0.0,Neutral
45,I do my own routine maintenance,Competition-prefer local mechanic,0.0,Neutral
46,Service people destroyed several things on my car the last time I was there,Interior/Exterior car damage,-0.4939,Negative
47,I have a regular mechanic that does regular maintenance,Competition-prefer local mechanic,0.0,Neutral
48,It was a random stop and the experience was nothing like the experience i had at another location in New Jersey,Other issues,-0.5122,Very Negative
49,Use other shops,Competition-prefer local mechanic,0.0,Neutral
50,Very poor service,Other service issues,-0.5256,Very Negative
51,I will use the Subaru dealer,Competition-prefer other car care chain,0.0,Neutral
52,"I was asked to purchase a number of due maintainence services to which I declined, except a fuel injector cleaner",Overselling-Pressure to buy,0.25,Positive
53,Price,Price too high,0.0,Neutral
54,I have maintenance performed by the Ford Dealer,Competition-prefer other car care chain,0.0,Neutral
55,Too expensive - I could have gotten two oil changes for what I paid at Midas,Price too high,0.0,Neutral
56,Expensive,Price too high,0.0,Neutral
57,Prices are too high,Price too high,0.0,Neutral
