,review,review header,sentiments,sentiment label
0,The man was a lier and he was rude ,Unprofessional employees,-0.4588,Negative
1,They were not able to accept my coupon from off line,Discount/coupon issue,-0.2924,Negative
2,This Jiffy Lube always tries to upsell especially to women,Female felt taken advantage of,0.0,Neutral
3,Don't like the feeling of being push to add other services to my oil change by keep asking the same questions after I have already said No,Overselling-Pressure to buy,-0.569,Very Negative
4,"Upon arrival, and knowledgeable of the routine desire to up sale additional products, I mentioned that I only wanted an oil change and no other up sales in product",Overselling-Pressure to buy,0.128,Positive
5,Too expensive,Overcharged - charged more than was agreed on,0.0,Neutral
6,I can't prove it but I do not believe the fuel injection services I paid for was performed,Other service issues,0.0,Neutral
7,"the guys broke a piece off my oil filter & never told me & my oil light would'nt go off, they just rushed me out the door",Oil filter issue,-0.4215,Negative
8,Had to wait about 5 minutes after my car was finish,Service took too long,0.0,Neutral
9,The prices were ridiculous and the people that work there are very ghetto,Price too high,-0.3612,Negative
10,"My coupons were not used, was told i could use them before services work done to my car however the manager said that I couldn't use them after the service was done and I was expecting to have a 19",Discount/coupon issue,0.0,Neutral
11,I was asked if I had a coupon for the oil change & I told the salesman I had one for $19,Discount/coupon issue,0.0,Neutral
12,"On sat morning, the mecanic broke a part in my car while doing my oil change ",Interior/Exterior car damage,-0.4215,Negative
13,I had 4 dollars in quarters in my console to wash my clothes and when I got in my car they were all gone,Item missing/stolen,0.0,Neutral
14,The price your company charges for an oil change is ridiculous,Overcharged - charged more than was agreed on,-0.5574,Very Negative
15,I broke down due to their negligence while changing the oil in my car,Other service issues,-0.4215,Negative
16,I feel like I'm being over priced,Price too high,0.3612,Positive
17,First oil change the left my oil drain bolt loose and I was leaking oil for a week before noticing,Oil filter issue,-0.3182,Negative
18,The price of the oil change,Price too high,0.0,Neutral
19,For a simple oil change and tire rotation I paid $95 with a military discount! I have never in all my years paid anywhere close to that,Price too high,0.0,Neutral
20,It seems as if they rather you pay full price then to use a coupon,Discount/coupon issue,-0.1027,Negative
21,Manger there did not feel trustworthy,Unprofessional employees,-0.4449,Negative
22,Lacks customer service,Poor customer service,0.0,Neutral
23,I found it ironic that the manager's name is Sunny because his disposition is anything but,Unprofessional employees,0.1655,Positive
24,They told me my signal was working when it wasn't,Misinformation about car/service needs given to customer,0.0,Neutral
25,Price point is higher than competition  and one hour to change oil with only three vehicles is too long definitely not jiffy by definition,Competition-prefer other car care chain,0.4019,Positive
26,I waited an hour and a half,Service took too long,0.0,Neutral
27,I was the first customer and I always thought that it was first come first serve but the guy was working on my car and the second customer,Poor customer service,0.0,Neutral
28,Not to the one I went to in Downey California service was not good it was not crowded and it took almost 2 hours the staff was small and sloppy one of the workers said they got a new manager about 2 weeks ago and they're trying to work The Kinks out,,-0.3412,Negative
29,"Cause when I went there they said they will not refill my  fluids  With in 3,000 miles your  policy states u do",Misinformation about car/service needs given to customer,0.0,Neutral
30,The service was poor the said if my fluids need to be refilled they wouldn't refill them then they charges my 8 for 2 quarts of anti  freeze,Poor customer service,-0.743,Very Negative
31,Left oil pan screw loose and spilled oil every where,Oil cap issue,-0.4019,Negative
32,"The service was terrible, I was told one total and when I cashed out it was a different amount",Poor customer service,-0.4767,Negative
33,The price $50 for F150 03 too much,Price too high,0.0,Neutral
34,took over an hour even though they said it would take less than 30 minutes,Service took too long,0.0,Neutral
35,Oil change over price,Price too high,0.0,Neutral
36,"I  had received an email discount coupon and went to Jiffy Lube and showed them the coupon, an employee told me to show it after my car was serviced",Discount/coupon issue,0.0,Neutral
37,"Takes 2 hours to get an oil change, computer timed me at only 30 min wait time",Service took too long,0.0,Neutral
38,I inquired about the 50% off EMT/police/firefighter discount special that I noticed being advertised on the TV (in the Jiffy Lube eating area) while waiting to get oil changed,Discount/coupon issue,0.4019,Positive
39,"The person who waited on me, Dave was very rude and unfriendly",Unprofessional employees,-0.7233,Very Negative
40,Services paid for were not completed,Poor customer service,0.0,Neutral
41,The men working on my cat killed my battery,Interior/Exterior car damage,-0.6705,Very Negative
42,"The $4.99 charge to ""top off"" radiator fluid",Price too high,0.2023,Positive
43,I had to return because my car was leaking oil,Oil filter issue,0.0,Neutral
44,Bad service,,-0.5423,Very Negative
45,They claimed my tires were guaged and inside vacuumed,Misinformation about car/service needs given to customer,0.0,Neutral
46,The verbal promise and written check list did not meet up with the actual facts,Misinformation about car/service needs given to customer,0.3182,Positive
47,Management team is very unprofessional,Unprofessional employees,-0.5563,Very Negative
48,they charge me too much for an oil change,Overcharged - charged more than was agreed on,0.0,Neutral
49,"I went to jiffy lube because the lines everywhere else were long, but I found out why",Competition-prefer other car care chain,0.0,Neutral
50,They told me they would vacuume the floors and wash the Windows they didn't vacuume the floors in the back of the car and they didn't wash the Windows on the inside,Misinformation about car/service needs given to customer,0.0,Neutral
51,Excess oil was not cleaned up,Oil cap issue,0.0,Neutral
52,"I was talked into your high mileage, expensive oil change",Overselling-Pressure to buy,0.0,Neutral
53,Was told something that was not true to get me to do a service that was not needed,Misinformation about car/service needs given to customer,-0.3252,Negative
54,The men were rude and got upset when I corrected him on the oil that was recommended by the manufacturer,Unprofessional employees,-0.5859,Very Negative
