All of the people working there were very friendly and were quick and efficient,Friendly,Fast/Quick/Speedy/Timely
The technician was very helpful and quick with my safety inspection,Good customer service,Fast/Quick/Speedy/Timely
Quick and friendly crew,Fast/Quick/Speedy/Timely,Friendly
"Excellent, Service and Professional!",Good customer service,Professional
Very fast,Fast/Quick/Speedy/Timely
This specific Jiffy Lube does an amazing job every time I go,Good customer service
They were very fast friendly and helpful,Friendly
I have always had good experiences and customer service at Jiffy Lube,Good customer service
Just doing service litlle more faster but other that really good service and really nice all,Fast/Quick/Speedy/Timely
"People are friendly, polite, and very fast and efficient",Friendly
Location and outstanding customer service,Convenient,Good customer service
very helpful people there they know what they doing,Knowledgeable employees
"Everything was great, except they wipe my windows off with greasy rags",Good customer service
Everything was taken care of,Good customer service
Convenient,Convenient
Friendly service and fast as well,Friendly
"Every time I come here, all of my issues I want addressed do get addressed",Good customer service
Friendlyness and Prices,Friendly,Fair price
"I only got an oil change, so I am unsure how jiffy will perform other maintenance",Other
"Staff was efficient, friendly, and knowledgeable",Friendly,Knowledgeable employees
Courteous employees!!!,Courtesy
The staff was extremely knowledgeable and friendly,Friendly,Knowledgeable employees
Fast service,Fast/Quick/Speedy/Timely
"Where I am when I need the service, here in Fort Collins or somewhere else in the country",Convenient
I have a regular repair service,Other
"Customer service is great, they are nice and do a great job",Good customer service
Service was timely,Fast/Quick/Speedy/Timely
Have been twice,Other
Not sure of all the sevices Jiffy Lube provides,Other
The customer service skills and experience was great,Good customer service
I have a service plan with my car,Other
Jiffy lube is fast and I trust the crew to inform me of my options if needed,Fast/Quick/Speedy/Timely,Trustworthy
"Quick service, friendly employees",Fast/Quick/Speedy/Timely,Friendly
"I have a mechanic that does most repairs, but I use Jiffy lube to do my oil changes",Other
I will for sure,Other
Prompt and courtesy,Fast/Quick/Speedy/Timely,Courtesy
Location,Convenient
They are quick,Fast/Quick/Speedy/Timely
They let you know what needs you be done and let you know how much it will cost,Cost
Just depends on what I might need and the pricing,Fair price,Have equipment needed
Quick and friendly service,Fast/Quick/Speedy/Timely,Friendly
I believe the manager name was Paul,Other
"Hayden had exceptional customer service ! Very pleasant , courteous and explain the products well !",Good customer service,Courtesy
The great service,Good customer service
"Very courteous, explaining things to me and patient with me",Courtesy
Family owns jiffy lubes in another area,Other
Pricing,Fair price
Air filter replacement cost $50 for a $10 part,Cost
Great,Good customer service
fast and nice,Fast/Quick/Speedy/Timely
Great service at a fair price,Good customer service,Fair price
I've been a customer for 15+ years and have never had a bad experience,Good customer service
Professional services and courteous attitudes,Professional,Courtesy
It depends on what I need done,Convenient
"Excellent service, very courteous and knowledgeable staff",Good customer service,Courtesy,Knowledgeable employees
Never needed maintenance work done there,Other
Got a mechanic in the family,Other
They have good service and affordable prices,Good customer service,Fair price
Depends on the type of service needed and the cost,Convenient,Cost
I usually only come in for oil changes,Have equipment needed
"I had my tires done today (Saturday, 24) amazing work, Jarvis in The Frederick, Maryland region was great especially answering my questions",Good customer service,Knowledgeable employees
I think of Jiffy Lube when I need an oil change,Have equipment needed
They were efficient and friendly,Friendly
Efficient and respectful workers,Courtesy,Good customer service
I have not used Jiffy Lube for anything other than an oil change so I am unfamiliar with their level of expertise in routine maintenance,Other
"The fact that you can get the service, in a relatively short time, without an appointment",Fast/Quick/Speedy/Timely
Systematic care for my care,Good customer service
"The service representative very clearly communicated the service recommended for my vehicle according to manufacturer specifications, the nature of the service required and at what mileage the car should be serviced",Knowledgeable employees
