"I checked some stuff that they said they checked and they said full but not full like liquid for radiator like liquid for windshield like they made all the motor dirt they spoiled oil everywhere they did not clean it when they was changing oil for me the problem that I'm member with jiffylube ",Other service issues,Unprofessional employees
I paid for a tire rotation that was NOT done properly!! I scuffed my rim w/ red paint and it was on the same rim prior to the visit,Tire rotation service issue
Too expensive,Price too high
It cost $61 for a filter and oil change which was approximately $20 more than our previous visit,Price too high
I have my own mechanic,Competition-prefer local mechanic
Before I went to get my oil change my car was running fine but on the way home my car started acting weird and like it wanted to die,Other service issues
My experience was great until checkout,Other issues
"I have a mechanic that does most repairs, but I use Jiffy lube to do my oil changes",Competition-prefer local mechanic
My car was running fine when I brought it into Jiffy Lube,Other service issues
"All I wanted was an oil change, and being young I feel like Your workers started pulling apart my car to get more money out of me",Customer felt threatened
They over charge,Overcharged - charged more than was agreed on
Air filter replacement cost $50 for a $10 part,Price too high
"Because I was told one thing at the counter by a Mechanic , and when I went to pay it was totally different ,",Overcharged - charged more than was agreed on
"I only do oil changes there, I leave everything else to my mechanic",Competition-prefer local mechanic
To much up sell,Overselling-Pressure to buy
"During the tire rotation process, the maintenance person had me look at my brake pads and rotars on both the front and the back",Tire rotation service issue
I will not return to this location,Other service issues
"Deceptive practices, high prices and a lobby that looks like a dump",Price too high
use a dealership,Competition-prefer other car care chain
Oil was spilled when filter was removed improperly,Oil filter issue
"Service tech offered air filter at $10, still charged me $35",Overcharged - charged more than was agreed on
Didn't change oil like suppose to,Oil or filter not actually replaced
Person filling crankcase with oil spilled the oil from the spout all over the engine block several times,Other service issues
Car doesn't run right,Other service issues
Too expensive for just an oil change,Price too high
Another company handles most of my automotive needs,Competition-prefer other car care chain
Would not accept coupon that was not expired and didn't specify location of coupon,Discount/coupon issue
Would rather go to a full service shop for other maintenance,Competition-prefer other car care chain
I have a friend that is my mechanic for anything beyond an oil change,Competition-prefer local mechanic
"I have a trusted garage that I usually visit, they were not open the day I needed my oil changed",Competition-prefer local mechanic
There was oil all over my engine,Other service issues
You guys almost caught my car on fire,Other service issues
"I go to Jiffy Kube for oil changes only, and I hate it when they try to sell me other services",Overselling-Pressure to buy
Because I take my truck to  my mechanic for mechanical work,Competition-prefer local mechanic
I have a regular mechanic,Competition-prefer local mechanic
Upon arrival I was quoted 30 minutes for a brake pad change-out (front only),Service took too long
Did not have part,Item out of stock
I received a coupon from jiffy lube via email and the manager would not accept it,Discount/coupon issue
i will go for a oil change but not other service,Other service issues
I was quoted $99 and 25-30 minutes to replace 1 belt,Service took too long,Price too high
the Jiffylube before this put the cabin filter wrong and damage it  so this shop said they could not replace it,Competition-prefer other car care chain
Go to Toyota dealer,Competition-prefer other car care chain
A lot of upselling,Overselling-Pressure to buy
New car under full warranty,Competition-prefer other car care chain
"I usually get my car needs, including my oil change from Mr",Competition-prefer other car care chain
I do my own routine maintenance,Competition-prefer local mechanic
Service people destroyed several things on my car the last time I was there,Interior/Exterior car damage
I have a regular mechanic that does regular maintenance,Competition-prefer local mechanic
It was a random stop and the experience was nothing like the experience i had at another location in New Jersey,Other issues
Use other shops,Competition-prefer local mechanic
Very poor service,Other service issues
I will use the Subaru dealer,Competition-prefer other car care chain
"I was asked to purchase a number of due maintainence services to which I declined, except a fuel injector cleaner",Overselling-Pressure to buy
Price,Price too high
I have maintenance performed by the Ford Dealer,Competition-prefer other car care chain
Too expensive - I could have gotten two oil changes for what I paid at Midas,Price too high
Expensive,Price too high
Prices are too high,Price too high
It took an hour to change my oil and the shop wasn't even very busy,Service took too long
For othe rmaintenance I take my car to my local mechanic,Competition-prefer local mechanic
THEY GAVE NO INDICATION THAT I WOULD NEED TO WAIT OVER 45 MONIUTES FOR A TIRE ROTATION,Tire rotation service issue
I have a regular mechanic,Competition-prefer local mechanic
WAY overpriced,Price too high
price,Price too high
Basically they told me a price for the air filter change and then when I went to pay the told me it was $15 bucks more,Price too high
Differing opinions from mechanic and friends about necessity of maintenance offered,Competition-prefer local mechanic
nothing i just like to use my mechanic,Competition-prefer local mechanic
Oil change was over $90.00 and I was not told until after the reps already started my oil change,Overcharged - charged more than was agreed on
"I had a scratch on my right side passenger door I know it  wasn't there when I left my house because I was going out of town, and I put my bags in my car and I would have saw when I went home and came back to my car to go out of town that's when I saw the scratch",Interior/Exterior car damage
I go elsewhere for routine maintenance besides oil changes so I don't get ripped off,Competition-prefer other car care chain
Was told the dip stick was stuck and could not be removed to check oil level prior to service,Other service issues
