"The man was a lier and he was rude ",Unprofessional employees
They were not able to accept my coupon from off line,Discount/coupon issue
This Jiffy Lube always tries to upsell especially to women,Female felt taken advantage of
Don't like the feeling of being push to add other services to my oil change by keep asking the same questions after I have already said No,Overselling-Pressure to buy
"Upon arrival, and knowledgeable of the routine desire to up sale additional products, I mentioned that I only wanted an oil change and no other up sales in product",Overselling-Pressure to buy
Too expensive,Overcharged - charged more than was agreed on
I can't prove it but I do not believe the fuel injection services I paid for was performed,Other service issues
"the guys broke a piece off my oil filter & never told me & my oil light would'nt go off, they just rushed me out the door",Oil filter issue
Had to wait about 5 minutes after my car was finish,Service took too long
The prices were ridiculous and the people that work there are very ghetto,Price too high
"My coupons were not used, was told i could use them before services work done to my car however the manager said that I couldn't use them after the service was done and I was expecting to have a 19",Discount/coupon issue
I was asked if I had a coupon for the oil change & I told the salesman I had one for $19,Discount/coupon issue
"On sat morning, the mecanic broke a part in my car while doing my oil change ",Interior/Exterior car damage
I had 4 dollars in quarters in my console to wash my clothes and when I got in my car they were all gone,Item missing/stolen
"They charged me $66 for an oil change!  Told me if I didn't get the synthetic blend, ny engine could fail!  My Hoonda Pilot gets its oil changed by Homda, but I thought I'd save time and try JL",Price too high,Misinformation about car/service needs given to customer
The price your company charges for an oil change is ridiculous,Overcharged - charged more than was agreed on
I broke down due to their negligence while changing the oil in my car,Other service issues
I feel like I'm being over priced,Price too high
First oil change the left my oil drain bolt loose and I was leaking oil for a week before noticing,Oil filter issue
The price of the oil change,Price too high
For a simple oil change and tire rotation I paid $95 with a military discount! I have never in all my years paid anywhere close to that,Price too high
It seems as if they rather you pay full price then to use a coupon,Discount/coupon issue
Manger there did not feel trustworthy,Unprofessional employees
Lacks customer service,Poor customer service
I found it ironic that the manager's name is Sunny because his disposition is anything but,Unprofessional employees
They told me my signal was working when it wasn't,Misinformation about car/service needs given to customer
Price point is higher than competition  and one hour to change oil with only three vehicles is too long definitely not jiffy by definition,Competition-prefer other car care chain
I waited an hour and a half,Service took too long
I was the first customer and I always thought that it was first come first serve but the guy was working on my car and the second customer,Poor customer service
Not to the one I went to in Downey California service was not good it was not crowded and it took almost 2 hours the staff was small and sloppy one of the workers said they got a new manager about 2 weeks ago and they're trying to work The Kinks out
"Cause when I went there they said they will not refill my  fluids  With in 3,000 miles your  policy states u do",Misinformation about car/service needs given to customer
The service was poor the said if my fluids need to be refilled they wouldn't refill them then they charges my 8 for 2 quarts of anti  freeze,Poor customer service
Left oil pan screw loose and spilled oil every where,Oil cap issue
"The service was terrible, I was told one total and when I cashed out it was a different amount",Poor customer service
The price $50 for F150 03 too much,Price too high
The service worker overcharged me with both adding on services and by not adding a 15 dollar coupon I had,Overcharged - charged more than was agreed on,Discount/coupon issue
took over an hour even though they said it would take less than 30 minutes,Service took too long
Oil change over price,Price too high
"I  had received an email discount coupon and went to Jiffy Lube and showed them the coupon, an employee told me to show it after my car was serviced",Discount/coupon issue
"Takes 2 hours to get an oil change, computer timed me at only 30 min wait time",Service took too long
I inquired about the 50% off EMT/police/firefighter discount special that I noticed being advertised on the TV (in the Jiffy Lube eating area) while waiting to get oil changed,Discount/coupon issue
"The person who waited on me, Dave was very rude and unfriendly",Unprofessional employees
Services paid for were not completed,Poor customer service
The men working on my cat killed my battery,Interior/Exterior car damage
"The $4.99 charge to ""top off"" radiator fluid",Price too high
I had to return because my car was leaking oil,Oil filter issue
Bad service
They claimed my tires were guaged and inside vacuumed,Misinformation about car/service needs given to customer
The verbal promise and written check list did not meet up with the actual facts,Misinformation about car/service needs given to customer
Management team is very unprofessional,Unprofessional employees
they charge me too much for an oil change,Overcharged - charged more than was agreed on
"I went to jiffy lube because the lines everywhere else were long, but I found out why",Competition-prefer other car care chain
"The service is overpriced, the work was sloppy, and when they checked my tires which were fine when I came in, I know because I have a low tire light that comes on anytime the pressure drops more then a pound, they let air out of the tires which caused the light to come on the next morning, I had to refill all of my tires because all of them  were 6-7 pounds below pressure",Overcharged - charged more than was agreed on,Other service issues
They told me they would vacuume the floors and wash the Windows they didn't vacuume the floors in the back of the car and they didn't wash the Windows on the inside,Misinformation about car/service needs given to customer
They were very busy and understaffed,Poor customer service,Service took too long
Excess oil was not cleaned up,Oil cap issue
"I was talked into your high mileage, expensive oil change",Overselling-Pressure to buy
Was told something that was not true to get me to do a service that was not needed,Misinformation about car/service needs given to customer
The technician did not put my oil cap back on and oil leaked all over my engine causing $600 worth of damage at the dealership,Oil cap issue,Interior/Exterior car damage
The men were rude and got upset when I corrected him on the oil that was recommended by the manufacturer,Unprofessional employees
They did not have the oil I needed for my particular vehicle and put something other than what my vehicle requires for oil,Item out of stock,Incorrect oil type used
"All the additional fee and playing woman with this need to be fix that need to be fix, you want to be able to trust the people working on your car at Nifty lube you cant",Misinformation about car/service needs given to customer,Overcharged - charged more than was agreed on
My visit was quoted to take 30-45 minutes by the employee who took my keys,Service took too long
"Poor service, long wait for easy jobs",Service took too long
"Several things ",Other service issues
Rather not say,Other service issues
"Was asked if I wanted tires rotated, a service I receive for free elsewhere",Tire rotation service issue
"I have been pretty consistent about getting my oil changes exclusively at JL for years because of the positive experiences, however I was completely dissatisfied this last time, it took longer than I typically spend, the environment was rude, and the cashier did not except a coupon that was sent to me via email",Service took too long,Unprofessional employees,Discount/coupon issue
"I was charge regular price, even after showing a $15 off coupon",Discount/coupon issue
Too much pressure to buy extra items/repairs,Overselling-Pressure to buy
Had a tire rotation,Tire rotation service issue
"I received the signature service oil change; however, they did not vacuum the floors or wash the windows",Vacuuming not done propertly,Other issues
"Oil change was over price, request to have the passanger side bulb to replace was unable to do so",Overcharged - charged more than was agreed on,Other service issues
Tech was trying not to my coupon by pretending it does not have a code,Discount/coupon issue
Poor service,Poor customer service
Services were poor,Poor customer service
24 hours after the oil change I was driving my car to work and it shut down,Other service issues
The amount of time it took to services my vehicle,Service took too long
I feel I am overcharged for items that do not need to be replaced,Overcharged - charged more than was agreed on
"Looked on line, oil change was supposed to be about, $45, but with one upgrade in oil it became, $75",Overcharged - charged more than was agreed on
They put a head light bulb on a BURNING pig tail,Other issues
Oil was stained on my seat from the workers pants and was not cleaned after being told so,Other service issues
I tried to us a coupon that I received in an email for $15 off the signature service,Discount/coupon issue
The girl was rude when I didn't get one of the upgrades she offered,Unprofessional employees
Technician did not completely replace oil dipstick causing oil to spill out on engine exhaust manifold,Oil cap issue
This is the third time I have gotten my oil changed there where my check engine light has come on in the hours following my visit,"Oil service light not reset "
"The team didnt seem like they want to be there, from the greet and the goodbye it was rushed",Poor customer service
"I had never taken my car to Jiffy Lube for an oil change before, but I decided to take my car this time and pay more than I normally do for an oil change only because I thought that they were going to clean the windows and vacuum the interior floors of my vehicle as included in the package,  they marked it off on the paperwork that they completed those tasks but I watch them do the entire thing and when I got in they definitely did not do any of those things",Misinformation about car/service needs given to customer
I felt it was very pricey even after purchasing a groupon,Price too high
Didn't perform all service requested,Misinformation about car/service needs given to customer
Extremely slow service for just oil change,Service took too long
