"The man was a liar and he was rude ",Untrustworthy\Mistrust,Unprofessional employees
They were not able to accept my coupon from off line,Discount/coupon issue
This Jiffy Lube always tries to upsell especially to women,Overselling-Pressure to buy,Female felt taken advantage of
"I was sent a 15% off coupon and the store I visited gave me a hard time using it, stating it doesn't accept when the email had the stores address on it to use it",Discount/coupon issue
Don't like the feeling of being push to add other services to my oil change by keep asking the same questions after I have already said No,Overselling-Pressure to buy
"My brother-in-law is a Jeep mechanic, I own a Jeep",Other issues
Too expensive,Price too high
I can't prove it but I do not believe the fuel injection services I paid for was performed,Untrustworthy\Mistrust
"the guys broke a piece off my oil filter & never told me & my oil light would'nt go off, they just rushed me out the door",Interior/Exterior car damage,"Oil service light not reset "
The prices were ridiculous and the people that work there are very ghetto,Price too high,Unprofessional employees
"My coupons were not used, was told i could use them before services work done to my car however the manager said that I couldn't use them after the service was done and I was expecting to have a 19.99 dollar oil change",Discount/coupon issue
It took to long,Service took too long
"On sat morning, the mecanic broke a part in my car while doing my oil change ",Interior/Exterior car damage
I had 4 dollars in quarters in my console to wash my clothes and when I got in my car they were all gone,Item missing/stolen
"They charged me $66 for an oil change!  Told me if I didn't get the synthetic blend, ny engine could fail!  My Hoonda Pilot gets its oil changed by Homda, but I thought I'd save time and try JL",Price too high,Misinformation about car/service needs given to customer
Very expensive,Price too high
The price your company charges for an oil change is ridiculous,Price too high
I broke down due to their negligence while changing the oil in my car,Interior/Exterior car damage
First oil change the left my oil drain bolt loose and I was leaking oil for a week before noticing,Interior/Exterior car damage
The price of the oil change,Price too high
For a simple oil change and tire rotation I paid $95 with a military discount! I have never in all my years paid anywhere close to that,Price too high,Discount/coupon issue
It seems as if they rather you pay full price then to use a coupon,Discount/coupon issue
Manger there did not feel trustworthy,Untrustworthy\Mistrust
"Poor customer service, poor vacuuming",Poor customer service,Vacuuming not done propertly
Lacks customer service,Poor customer service
Although the guy greeted me and the staff was cordial the atmosphere was not friendly and willing to assist,Unprofessional employees
I found it ironic that the manager's name is Sunny because his disposition is anything but,Unprofessional employees
Drivers side floor mat had grease marks all over it,Interior/Exterior car damage
I have a regular service shop for mechanical work,Competition-prefer local mechanic
They told me my signal was working when it wasn't,Misinformation about car/service needs given to customer
Price point is higher than competition  and one hour to change oil with only three vehicles is too long definitely not jiffy by definition,Price too high,Service took too long
My wife was charged twice for a tire rotation -- the $21.99 charge appears twice on our invoice,Female felt taken advantage of,Overcharged - charged more than was agreed on
Use services at dealer,Competition-prefer dealer
I waited an hour and a half,Service took too long
Took over an hour for service and they wrote the wrong mileage down for when I need to come back,Service took too long
"this particular location was very slow, and they had  left the oil filter off",Service took too long,Oil filter issue
I was the first customer and I always thought that it was first come first serve but the guy was working on my car and the second customer,Later-arriving customers served ahead of me
Not to the one I went to in Downey California service was not good it was not crowded and it took almost 2 hours the staff was small and sloppy one of the workers said they got a new manager about 2 weeks ago and they're trying to work The Kinks out,Service took too long,Unprofessional employees
"Cause when I went there they said they will not refill my  fluids  With in 3,000 miles your  policy states u do","Fluids not topped off (ie engine coolant, washer fluid)"
The service was poor the said if my fluids need to be refilled they wouldn't refill them then they charges my 8 for 2 quarts of anti  freeze,Poor customer service,"Fluids not topped off (ie engine coolant, washer fluid)"
Left oil pan screw loose and spilled oil every where,Drain plug-pan issues
"The service was terrible, I was told one total and when I cashed out it was a different amount",Poor customer service,Overcharged - charged more than was agreed on
Took more than 45 mins,Service took too long
"They handled the oil aspect of the signature service well, but forgot to clean the exterior windows as promised",Vacuuming not done propertly
The price $50 for F150 03 too much,Price too high
The service worker overcharged me with both adding on services and by not adding a 15 dollar coupon I had,Overcharged - charged more than was agreed on,Discount/coupon issue
Number of things I noticed from my visit,Poor customer service
"I like their convenience, but if I have my vehicle in to our mechanic at the time an oil",Competition-prefer local mechanic
Never had an issue with my car when I get an oil change there I don't come here often because it's more expensive but I like jiffy lube,Price too high
They failed to check my turn signal indicator,"Oil service light not reset "
Oil change over price,Price too high
Warranty with manufacturer,Competition-prefer dealer
Wanted to do tire rotation along wit oil change,Tire rotation service issue
I arrived at 1134 for an oil change only and I left at 145 the car before me needed a part from auto zone so I had to wait for that and wait until they put the part on also I didn't get air in my tires and the windows were smeared,Poor customer service,Service took too long
"The person who waited on me, Dave was very rude and unfriendly",Unprofessional employees
Services paid for were not completed,Other issues
The men working on my cat killed my battery,Interior/Exterior car damage
Have own mechanic,Competition-prefer local mechanic
Very expensive,Price too high
"The $4.99 charge to ""top off"" radiator fluid",Price too high
I had to return because my car was leaking oil,Oil cap issue
Bad service,Poor customer service
I have a regular mechanic for other maintence issues,Competition-prefer local mechanic
I had my oil changed there and the very next day I began to have an oil leak,Interior/Exterior car damage
They claimed my tires were guaged and inside vacuumed,Tire rotation service issue,Vacuuming not done propertly
The verbal promise and written check list did not meet up with the actual facts,Overcharged - charged more than was agreed on
"Because I am a young white college female, they took advantage and tried to sell me oil that I have never used in my truck and scam me for more money",Female felt taken advantage of,Overselling-Pressure to buy
Management team is very unprofessional,Unprofessional employees
they charge me too much for an oil change,Price too high
Prefer to go to other shops when service includes more than just an oil change,Competition-prefer other car care chain
"I went to jiffy lube because the lines everywhere else were long, but I found out why",Poor customer service
My filter was put in upside down and was not filtering properly,Fuel filter replacement
"The service is overpriced, the work was sloppy, and when they checked my tires which were fine when I came in, I know because I have a low tire light that comes on anytime the pressure drops more then a pound, they let air out of the tires which caused the light to come on the next morning, I had to refill all of my tires because all of them  were 6-7 pounds below pressure",Price too high,Poor customer service
Prices,Price too high
Service,Poor customer service
They told me they would vacuume the floors and wash the Windows they didn't vacuume the floors in the back of the car and they didn't wash the Windows on the inside,Vacuuming not done propertly
They were very busy and understaffed,Unprofessional employees
Excess oil was not cleaned up,Poor customer service
"I was talked into your high mileage, expensive oil change",Overselling-Pressure to buy
Was told something that was not true to get me to do a service that was not needed,Misinformation about car/service needs given to customer
The technician did not put my oil cap back on and oil leaked all over my engine causing $600 worth of damage at the dealership,Oil cap issue
Seems like they want to sell you everything else at inflated prices,Price too high
The service director was not knowledgeable and tried to be cute about not honoring the Labor Day discount,Employees not knowledgeable,Discount/coupon issue
Specifically my most recent experience with the SE Powell & Cesar Chavez location,Poor customer service
The men were rude and got upset when I corrected him on the oil that was recommended by the manufacturer,Unprofessional employees
The person that checked me in was fucking rude and condescending,Unprofessional employees
I can do most maintanence by myself,Other issues
"All the additional fee and playing woman with this need to be fix that need to be fix, you want to be able to trust the people working on your car at Nifty lube you cant",Untrustworthy\Mistrust
The cost of your regular oil change is almost 100% more than other local competitors,Price too high
Staff seemed very young and didn't seem to know what was going on,Unprofessional employees
took too long,Service took too long,Service took too long
My visit was quoted to take 30-45 minutes by the employee who took my keys,Service took too long
"Poor service, long wait for easy jobs",Poor customer service,Service took too long
"Several things ",Poor customer service
Rather not say,Poor customer service
"Was asked if I wanted tires rotated, a service I receive for free elsewhere",Overcharged - charged more than was agreed on
"I have been pretty consistent about getting my oil changes exclusively at JL for years because of the positive experiences, however I was completely dissatisfied this last time, it took longer than I typically spend, the environment was rude, and the cashier did not except a coupon that was sent to me via email",Service took too long,Unprofessional employees,Discount/coupon issue
"I was charge regular price, even after showing a $15 off coupon",Discount/coupon issue
"With oil change service, there is a list of other things to check, wash, fill, maintain and these things were not done",Poor customer service
price,Price too high
Too much pressure to buy extra items/repairs,Overselling-Pressure to buy
"I received the signature service oil change; however, they did not vacuum the floors or wash the windows",Vacuuming not done propertly
"The service was very slow, started working on another car before finishing with my",Service took too long,Later-arriving customers served ahead of me
I was waiting for forty minutes (ten minutes longer than the estimated wait time given to me) and had to bug a technician to get my car moved,Service took too long
"Oil change was over price, request to have the passanger side bulb to replace was unable to do so",Price too high
"do a lot of my own work, so likely do other things myself",Other issues
Tech was trying not to my coupon by pretending it does not have a code,Discount/coupon issue
Poor service,Poor customer service
Services were poor,Poor customer service
"Pushing product, but mainly price",Overselling-Pressure to buy,Price too high
A greasy/oily scuff mark was left on my beige carpeting,Poor customer service
24 hours after the oil change I was driving my car to work and it shut down,Poor customer service
The amount of time it took to services my vehicle,Service took too long
I feel I am overcharged for items that do not need to be replaced,Overcharged - charged more than was agreed on
"Looked on line, oil change was supposed to be about, $45, but with one upgrade in oil it became, $75",Overcharged - charged more than was agreed on
"My 2016 Honda CRV required 0W-50 oil which cost, apparently 50% more than conventional oil, at $53.99 for an oil change! ",Overcharged - charged more than was agreed on
"We had two cars oil changed, one we are selling and the warning light was not reset","Oil service light not reset "
They put a head light bulb on a BURNING pig tail,Interior/Exterior car damage
Price,Price too high
Oil was stained on my seat from the workers pants and was not cleaned after being told so,Interior/Exterior car damage
The girl was rude when I didn't get one of the upgrades she offered,Unprofessional employees
Oil hand prints on my truck,Interior/Exterior car damage
