,index,Review,Label
0,0,I checked some stuff that they said they checked and they said full but not full like liquid for radiator like liquid for windshield like they made all the motor dirt they spoiled oil everywhere they did not clean it when they was changing oil for me the problem that I'm member with jiffylube ,Poor customer service
1,1,I paid for a tire rotation that was NOT done properly!! I scuffed my rim w/ red paint and it was on the same rim prior to the visit,Tire rotation service issue
2,2,It cost $61 for a filter and oil change which was approximately $20 more than our previous visit,Price too high
3,3,Before I went to get my oil change my car was running fine but on the way home my car started acting weird and like it wanted to die,Interior/Exterior car damage
4,4,They over charge,Price too high
5,5,Waiting room was NOT air conditioned in 90+ degree heat,Customer lounge atmosphere
6,6,"During the tire rotation process, the maintenance person had me look at my brake pads and rotars on both the front and the back",Poor customer service
7,7,"Deceptive practices, high prices and a lobby that looks like a dump",Untrustworthy\Mistrust
8,8,"When I arrived at the Jiffy Lube on Midlothian Turnpike (Richmond VA), the technicians immediately told me that my car was lacking an air filter",Overselling-Pressure to buy
9,9,Oil was spilled when filter was removed improperly,Interior/Exterior car damage
10,10,"Service tech offered air filter at $10, still charged me $35",Price too high
11,11,Didn't change oil like suppose to,Poor customer service
12,12,Person filling crankcase with oil spilled the oil from the spout all over the engine block several times,Poor customer service
13,13,I had bought a groupon and it disclosed that I may have to pay additional money for more the 5qts of oil for my car,Overselling-Pressure to buy
14,14,Too expensive for just an oil change,Price too high
15,15,Would not accept coupon that was not expired and didn't specify location of coupon,Discount/coupon issue
16,16,"I have a trusted garage that I usually visit, they were not open the day I needed my oil changed",Competition-prefer local mechanic
17,17,You guys almost caught my car on fire,Interior/Exterior car damage
18,18,Deception,Untrustworthy\Mistrust
19,19,Upon arrival I was quoted 30 minutes for a brake pad change-out (front only),Service took too long
20,20,Did not have part,Item out of stock
21,21,I received a coupon from jiffy lube via email and the manager would not accept it,Discount/coupon issue
22,22,the Jiffylube before this put the cabin filter wrong and damage it  so this shop said they could not replace it,Interior/Exterior car damage
23,23,Service people destroyed several things on my car the last time I was there,Interior/Exterior car damage
24,24,It was a random stop and the experience was nothing like the experience i had at another location in New Jersey,Poor customer service
25,25,Very poor service,Poor customer service
26,26,"I was asked to purchase a number of due maintainence services to which I declined, except a fuel injector cleaner",Overselling-Pressure to buy
27,27,Too expensive - I could have gotten two oil changes for what I paid at Midas,Price too high
28,28,It took an hour to change my oil and the shop wasn't even very busy,Service took too long
29,29,Oil change was over $90.00 and I was not told until after the reps already started my oil change,Didn't get customer prior approval to authorize work/expense
30,30,"I had a scratch on my right side passenger door I know it  wasn't there when I left my house because I was going out of town, and I put my bags in my car and I would have saw when I went home and came back to my car to go out of town that's when I saw the scratch",Interior/Exterior car damage
31,31,WAY overpriced,Price too high
32,32,Basically they told me a price for the air filter change and then when I went to pay the told me it was $15 bucks more,Overcharged - charged more than was agreed on
33,33,I got a battery replaced here and left with my entire car shaking,Interior/Exterior car damage
34,34,There was no other car in the shop but mine and 4 guys managed to mess up my oil change,Poor customer service
35,35,Pricing,Price too high
36,36,Bolt holding oil pan stripped previous visit $314,Interior/Exterior car damage
37,37,The men working on my car did not install my headlights correctly,Poor customer service
38,38,Changing your prices from 40$ for an oil change to 75$ is a complete rip off,Price too high
39,39,I was not satisfied with customer service I truly believe there was no oil change in my car I was told there was a powers steering leak but yet I'm very low in engine oil which makes me believe my oil was not changed but I was charged,Oil or filter not actually replaced
40,40,After 6 days of driving  I had to get another oil change after the light in my vehicle indicated that my oil needed to be changed,Oil or filter not actually replaced
41,41,I feel I was duped into buying oil that I had never used and did not want,Overselling-Pressure to buy
42,42,They did the oil change wrong and oil leaked all in my engine no one called back,Interior/Exterior car damage
43,43,"When I returned straight home, went back out to my card had a very flat tire, I took the tore off took it to Firestone they said the value stem had been loosen",Overselling-Pressure to buy
44,44,Not that great,Other issues
45,45,The employees in the service side didn't do what was said on the analysis sheet,Misinformation about car/service needs given to customer
46,46,"After my radiator was replaced, my car was driving differently",Interior/Exterior car damage
47,47,Staff manager was on lunch break,Service took too long
48,48,I was displeased with the service I received I was in the shop for an hour just for a oil change and I was the only vehicle  there the technician indicated that they didn't have the necessary tools to take the oil filter off and I had to wait for it to be delivered,Service took too long
49,49,The price,Price too high
50,50,Window cleaning only half done,Poor customer service
51,51,Did not get good service,Poor customer service
52,52,Rude inexperienced crew,Unprofessional employees
53,53,When I got home my car was leaking oil and a gasket had been broken on the old change,Interior/Exterior car damage
54,54,Expensive,Price too high
55,55,Way too expensive!,Price too high
56,56,The on board computer systems were not updated to reflect an oil change happened,Poor customer service
57,57,"Workers lied and told me things that I really didn't need at the moment, and expected me to pay for services checking them off without even asking me",Didn't get customer prior approval to authorize work/expense
58,58,The service team got my vehicle and another vehicle mixed up,Poor customer service
59,59,I was treated horribly,Poor customer service
60,60,Was forced into hugging one of the mechanics,Poor customer service
61,61,My tires were not inflated to the proper pressure,Poor customer service
62,62,Employees were unkept and rude,Unprofessional employees
63,63,I have used various JL's over 3 decades and this may ne the last time I do,Other issues
64,64,"The prices are higher here than the jiffy lube in Albany, NY",Price too high
65,65,Teach the people who to check tire pressure and how to tighten the oil plug lol,Employees not knowledgeable
66,66,I went there for an inspection and i failed because supposedly my struts were loose and a lug nut couldnt be taken off,Interior/Exterior car damage
67,67,My 1990 Saab was nearly destroyed by a service man who didn't know how to drive stick shift,Interior/Exterior car damage
68,68,was there for over an hour,Service took too long
69,69,They added services without my consent! Period!,Didn't get customer prior approval to authorize work/expense
70,70,"During service, the tech broke the air inlet from the air filter to the throttle body and didn't tell me",Interior/Exterior car damage
71,71,They charged for items after the fact,Didn't get customer prior approval to authorize work/expense
72,72,Service was slow,Service took too long
73,73,I felt that their customer service delivery was very poor,Poor customer service
74,74,Staff was unprofessional,Unprofessional employees
75,75,I was told that several of my fluids were low but I told the people I would take care of them,Overselling-Pressure to buy
76,76,I'm not sure what they did on my car!,Interior/Exterior car damage
77,77,The staff upcharges,Price too high
78,78,"Because I can go to walmart to get my oil changed, and all other fluids topped off for less than a Jiffy Lube oil change",Price too high
79,79,I went in for an oil change and was told that both my alternator and my battery were shot and needed to be replaced for $400+,Overselling-Pressure to buy
80,80,It was my 1st time at this location and they didn't top off or add any fluids,"Fluids not topped off (ie engine coolant, washer fluid)"
81,81,Too expensive,Price too high
82,82,Tire light was on when I arrived and was still on when I left,Poor customer service
83,83,For a $50! oil change ( I only received the generic oil for that price) the service was rude and my car was only partially vacuumed,Price too high
84,84,Employees are extremely pushy about performing service that you are not there to get done,Overselling-Pressure to buy
85,85,"When you discover that the technician when crouching next to your driver's side door, lost his balance & in trying not to fall over",Unprofessional employees
86,86,"It took entirely to long when I got there the lady told me I had four cars in front of me about 15 min each car, I went in for an oil change and took over 2 hrs to get to my car once they finally had my car the guy servicing had my car tilted in the bay and he wasn't sure what was being done to my car the manager told him to figure it out, to me that's horrible service I had my son with me and if I knew it was going to take that long I would have went somewhere else or came back later",Service took too long
87,87,Cost,Price too high
88,88,"I do not trust the ""salesman"" named Sebastian",Untrustworthy\Mistrust
89,89,A service tech broke my oil dipstick and didn't even say anything about it,Interior/Exterior car damage
90,90,They were extremely slow - took nearly an hour for an oil change,Service took too long
91,91,Horrible customer service and all around laziness of the staff,Poor customer service
92,92,Expensive and slow service,Price too high
93,93,I am a single mother and I can not afford 70 for a oil change,Price too high
94,94,They don't have a device to reset the oil light on my VW,Item out of stock
95,95,"The ""protective fender mats"" were covered in oil and covered both front fenders and hood with oil",Poor customer service
96,96,Pushy service as well as the unintelligible and hot-tempered desk clerk,Overselling-Pressure to buy
97,97,Price too expensive,Price too high
98,98,"They didn't clean my windows nor did they vacuume the car I asked for them to check my tire pressure and I saw the man bend over and squeeze one tire with his hand as if that's checking my tires pressure , was very annoyed with the full service oil change , should be called the good enough oil change",Vacuuming not done propertly
99,99,I went to get a oil change and transmission service it should of cost 110 then I was told it would be slightly more expensive and at the end I found out it was 220 to do it,Overcharged - charged more than was agreed on
100,100,The cost was almost $100 for an oil change,Price too high
101,101,They didn't do half of what was on the recipe,Poor customer service
102,102,It's too expencive,Price too high
103,103,caused my oil get more leak,Interior/Exterior car damage
104,104,Manager at the location I went to was a total Jerk,Unprofessional employees
105,105,"I purchased a windshield wiper, which was overpriced to begin with, I drove away and got about five miles down the road and went to use the wiper and it flew off",Wiper replacement issues
106,106,When I was cashing out the technician said they could not accept my Jiffy Lube Car Care One credit card,Discount/coupon issue
107,107,Cause I don't like the welcome and the service seem wasn't complete in timely fashion,Service took too long
108,108,I had cash and my USB cord that hooks from my iPhone to my car stolen,Item missing/stolen
109,109,"I was from out of state, needed an oil change, went to Jiffy Lube and was charged $91 for oil change",Price too high
110,110,One of the mechanics cut their finger in my car and left blood on a shopping bag I had inside my car,Poor customer service
111,111,None of the service members could clear the maintenance needed window,Poor customer service
112,112,Total disregard for my time,Service took too long
113,113,It took 30 minutes for the lady behind the front desk to aknowledge I was there,Service took too long
114,114,I was taken advantage of! Walk in with a $20 groupon told me I couldn't use it while they already did my car! I was forced to pay 88$ My car wasn't even vacuumed which they claimed they did ! It was raining they wiped my back window and left smuge all over it so I can't see out of it! As well as they never checked my air pressure because later that night I had to and it was low!!!! What a scam & a rip off!!!!,Vacuuming not done propertly
115,115,I asked them to refill my windshield washer fluid and they said they did but it was empty when I checked later that day,"Fluids not topped off (ie engine coolant, washer fluid)"
116,116,"The oil change is to much, I can take it some were else",Price too high
117,117,Prices,Price too high
118,118,"It took an hour and a half for an oil change, tire rotation, and inspection",Service took too long
119,119,"left car , was told I would be called when finished, no one called",Unprofessional employees
120,120,"Well yesterday, cars that were in the back of me got pushed in front of me",Later-arriving customers served ahead of me
121,121,"I dropped off my truck and asked to be called when done, that was not done",Unprofessional employees
122,122,The cost of the service is completely ridiculous,Price too high
123,123,The Bedford location has been getting a little aggressive with their upsale tactics,Overselling-Pressure to buy
124,124,"The man in the reception, I think his name is David, was rude disrespectful & condescending",Unprofessional employees
125,125,you did a tire rotation and broke one of the screws that holds the tire in place,Interior/Exterior car damage
126,126,Poor floor management resulted in excessive waiting time,Service took too long
127,127,Mechanic continue to up-sale on unnecessary vehicle needs,Overselling-Pressure to buy
128,128,Customer service was awful asking questions about my car no one had answers,Poor customer service
129,129,$96.00 for an oil change,Price too high
130,130,"I paid for the signature change that includes a tire rotation, car vacuum and exterior window cleaning and none of those were done",Other issues
131,131,"Over priced, straight mineral oil not offered nor available",Price too high
132,132,Waiting for parts from a parts store,Item out of stock
133,133,Misled by a coupon,Discount/coupon issue
134,134,Over priced for very little necessary work,Price too high
135,135,When the tech checked my cabin filter he left his rag in it when he put it back in place and when I turned my A/C fan on it made a horiffic noise,Air condition service
136,136,The services that are included in oil change price were not performed,Doubt
137,137,Exterior windows were not cleaned and tire pressure was not checked,Poor customer service
138,138,The customer service was very poor,Poor customer service
139,139,Took forever even though when I arrived there was no one else there,Service took too long
140,140,"While replacing wiper blades, the tech cracked my windshield",Interior/Exterior car damage
141,141,I don't believe in adding things to a bill that is not requested,Didn't get customer prior approval to authorize work/expense
142,142,My experience started off with me coming in and using my coupon that was emailed to me for $15 off signature oil change and was told that was only for synthetic and could only get $10 for motor oil which the coupon seemed to have said it covered,Discount/coupon issue
143,143,"They checked off that they did things and they did not vacuum, wash wondows,  power steering level low as was antifreeze",Vacuuming not done propertly
144,144,Led to believe car needed synthetic oil when it only requires conventional,Overselling-Pressure to buy
145,145,Untrustworthy,Untrustworthy\Mistrust
146,146,They tried to sell me services I didn't need,Overselling-Pressure to buy
147,147,"The fact that we have been a customer for many years, on the last visit I was not asked about anything that needed to be done on the vehicle and then they simply checked off declined for vacuuming and washing the windows",Poor customer service
148,148,Had some coins stolen out of the dash during my vehicle inspection,Item missing/stolen
149,149,The service man behaved in an arrogant manner never answered my questions clearly,Unprofessional employees
150,150,Everything was a little disorganized,Other issues
151,151,Poorly treated by Phil when I presented a coupon,Unprofessional employees
152,152,The store is very understaffed,Other service issues
153,153,"The guy was extremely rude, kept trying to push me to get things I didn't really need",Unprofessional employees
154,154,Tried to sell me a battery I don't need,Overselling-Pressure to buy
