,index,Review,Label
0,All of the people working there were very friendly and were quick and efficient,Friendly,Fast/Quick/Speedy/Timely
1,The technician was very helpful and quick with my safety inspection,Good customer service,Fast/Quick/Speedy/Timely
2,Quick and friendly crew,Fast/Quick/Speedy/Timely,Friendly
3,"Excellent, Service and Professional!",Good customer service,Professional
4,Very fast,Fast/Quick/Speedy/Timely,
5,This specific Jiffy Lube does an amazing job every time I go,Good customer service,
6,They were very fast friendly and helpful,Friendly,
7,I have always had good experiences and customer service at Jiffy Lube,Good customer service,
8,Just doing service litlle more faster but other that really good service and really nice all,Fast/Quick/Speedy/Timely,
9,"People are friendly, polite, and very fast and efficient",Friendly,
10,Location and outstanding customer service,Convenient,Good customer service
11,very helpful people there they know what they doing,Knowledgeable employees,
12,"Everything was great, except they wipe my windows off with greasy rags",Good customer service,
13,Everything was taken care of,Good customer service,
14,Convenient,Convenient,
15,Friendly service and fast as well,Friendly,
16,"Every time I come here, all of my issues I want addressed do get addressed",Good customer service,
17,Friendlyness and Prices,Friendly,Fair price
18,"I only got an oil change, so I am unsure how jiffy will perform other maintenance",Other,
19,"Staff was efficient, friendly, and knowledgeable",Friendly,Knowledgeable employees
20,Courteous employees!!!,Courtesy,
21,The staff was extremely knowledgeable and friendly,Friendly,Knowledgeable employees
22,Fast service,Fast/Quick/Speedy/Timely,
23,"Where I am when I need the service, here in Fort Collins or somewhere else in the country",Convenient,
24,I have a regular repair service,Other,
25,"Customer service is great, they are nice and do a great job",Good customer service,
26,Service was timely,Fast/Quick/Speedy/Timely,
27,Have been twice,Other,
28,Not sure of all the sevices Jiffy Lube provides,Other,
29,The customer service skills and experience was great,Good customer service,
30,I have a service plan with my car,Other,
31,Jiffy lube is fast and I trust the crew to inform me of my options if needed,Fast/Quick/Speedy/Timely,Trustworthy
32,"Quick service, friendly employees",Fast/Quick/Speedy/Timely,Friendly
33,"I have a mechanic that does most repairs, but I use Jiffy lube to do my oil changes",Other,
34,I will for sure,Other,
35,Prompt and courtesy,Fast/Quick/Speedy/Timely,Courtesy
36,Location,Convenient,
37,They are quick,Fast/Quick/Speedy/Timely,
38,They let you know what needs you be done and let you know how much it will cost,Cost,
39,Just depends on what I might need and the pricing,Fair price,Have equipment needed
40,Quick and friendly service,Fast/Quick/Speedy/Timely,Friendly
41,I believe the manager name was Paul,Other,
42,"Hayden had exceptional customer service ! Very pleasant , courteous and explain the products well !",Good customer service,Courtesy
43,The great service,Good customer service,
44,"Very courteous, explaining things to me and patient with me",Courtesy,
45,Family owns jiffy lubes in another area,Other,
46,Pricing,Fair price,
47,Air filter replacement cost $50 for a $10 part,Cost,
48,Great,Good customer service,
49,fast and nice,Fast/Quick/Speedy/Timely,
50,Great service at a fair price,Good customer service,Fair price
51,I've been a customer for 15+ years and have never had a bad experience,Good customer service,
52,Professional services and courteous attitudes,Professional,Courtesy
53,It depends on what I need done,Convenient,
54,"Excellent service, very courteous and knowledgeable staff",Good customer service,Courtesy
55,Never needed maintenance work done there,Other,
56,Got a mechanic in the family,Other,
57,They have good service and affordable prices,Good customer service,Fair price
58,Depends on the type of service needed and the cost,Convenient,Cost
59,I usually only come in for oil changes,Have equipment needed,
60,"I had my tires done today (Saturday, 24) amazing work, Jarvis in The Frederick, Maryland region was great especially answering my questions",Good customer service,Knowledgeable employees
61,I think of Jiffy Lube when I need an oil change,Have equipment needed,
62,They were efficient and friendly,Friendly,
63,Efficient and respectful workers,Courtesy,Good customer service
64,I have not used Jiffy Lube for anything other than an oil change so I am unfamiliar with their level of expertise in routine maintenance,Other,
65,"The fact that you can get the service, in a relatively short time, without an appointment",Fast/Quick/Speedy/Timely,
66,Systematic care for my care,Good customer service,
67,"The service representative very clearly communicated the service recommended for my vehicle according to manufacturer specifications, the nature of the service required and at what mileage the car should be serviced",Knowledgeable employees,
68,I've been taking my car there for years at the west Patrick in Frederick md location and Ive always paid for the signature services and had my car vacuumed out and this time they only vacuumed the floor and I asked if they can vacuum the back seat and the guy looked at me funny and stated that they don't normally do that but will do it this time,Good customer service,
69,Depending on the service I may check to see if other places will offer routine maintenance at a lower price,Fair price,
70,The prices,Fair price,
71,Very Fast less than 10 minutes and done right,Fast/Quick/Speedy/Timely,
72,Good service friendly staff and quick service,Friendly,Fast/Quick/Speedy/Timely
73,Prompt and polite service,Courtesy,Fast/Quick/Speedy/Timely
74,Quick and good service,Fast/Quick/Speedy/Timely,
75,Yes,Other,
76,Service,Good customer service,
77,Great customer service,Good customer service,
78,Quick service,Fast/Quick/Speedy/Timely,
79,Everyone was super friendly and gave fast service,Friendly,
80,Very nice employees,Friendly,
81,Very friendly came to the car opened the vacuumed the car,Friendly,
82,"Fast , easy  ",Fast/Quick/Speedy/Timely,
83,Always friendly and professional,Friendly,
84,All employees I came in contact with were pleasant and answered all my questions,Knowledgeable employees,
85,"I only do oil changes there, I leave everything else to my mechanic",Have equipment needed,
86,EVERYONE WAS CURTIOUS AND PROFESSIONAL,Courtesy,Professional
87,I get my state inspection there,Other,
88,I always receive quick friendly service and the job is done right,Fast/Quick/Speedy/Timely,Friendly
89,Oil change and filters,Have equipment needed,
90,quick friendly and offered discounts at the point of service,Fast/Quick/Speedy/Timely,Friendly
91,Quick and friendly,Fast/Quick/Speedy/Timely,Friendly
92,Great service!!!,Good customer service,
93,informative about what they were doing and very courtesy,Knowledgeable employees,Courtesy
94,Cheaper than other places,Cost,
95,Great service and prices,Good customer service,Fair price
96,Was not aware Jiffy Lube provided service beyond oil change,Other,
97,"good service, fast",Good customer service,Fast/Quick/Speedy/Timely
98,very pleased,Good customer service,
99,Everyone was nice and smiling!,Friendly,
100,THe way your members went out of their way to explain things to me,Knowledgeable employees,
101,Only because one bad Apple will not ruin the tree,Other,
102,"Professional service, did not push on extras regarding maintenance",Professional,
103,Everyone there was super friendly and helpful,Friendly,
104,Jiffy Lube checked my air filter and my cabin filter,Good customer service,
105,"I've always gotten my oilchange with the Jiffy Lube,",Have equipment needed,
106,I have been a Jiffy Lube customer since 2001 and have always received excellent service,Good customer service,
107,"I usually change my own oil, but sometimes I don't have the time",Convenient,
108,The new manager,Good customer service,
109,Work was done well and fast,Good customer service,Fast/Quick/Speedy/Timely
110,Fast service,Fast/Quick/Speedy/Timely,
111,Manager's personal attention,Good customer service,
112,They always explain everything and don't try and sell me stuff I DON'T need,Professional,Knowledgeable employees
113,Very pleased with the overall visit,Good customer service,
114,Very polite and professional,Professional,
115,The cost,Cost,
116,The guys were so nice and explained about my vehicle engine and how things worked,Knowledgeable employees,
117,"People are very nice, sales wasn't pushy at all",Friendly,Knowledgeable employees
118,Friendly service,Friendly,
119,Very fast turn around time and professional staff,Fast/Quick/Speedy/Timely,Professional
120,Dan is the man,Good customer service,
121,They were pleasant,Friendly,
122,"Great, Fast service!!!",Good customer service,Fast/Quick/Speedy/Timely
123,The personnel are very quick and courteous with my car and it gets a thorough work over,Fast/Quick/Speedy/Timely,Courtesy
124,They were a nice bunch of guys,Good customer service,
125,Very nice people working there,Friendly,
126,The big guy Tyler I believe was his name,Other,
127,I mostly use JL for oil changes only,Have equipment needed,
128,How friendly and fast they are at changing my oil,Friendly,
129,They had very good communication and they were willing to work with me on the price,Professional,Fair price
130,Cost,Cost,
131,"Treated respectfully, prompt service, fair prices, and let me know that many other car maintenance services are available",Courtesy,Fast/Quick/Speedy/Timely
132,Trusted employees,Trustworthy,
133,"Excellent customer service, professionalism and speed",Good customer service,Professional
134,Fast service,Fast/Quick/Speedy/Timely,
135,Fast,Fast/Quick/Speedy/Timely,
136,They were very throu and went above and beyond to make sure my car got the service of needed,Courtesy,
137,I have never used jiffy lube for anything else either than oil change,Other,
138,The service,Good customer service,
139,"Everyone was very helpful, friendly and efficient",Friendly,
