,index,Review,Label
0,I checked some stuff that they said they checked and they said full but not full like liquid for radiator like liquid for windshield like they made all the motor dirt they spoiled oil everywhere they did not clean it when they was changing oil for me the problem that I'm member with jiffylube ,Other service issues,Unprofessional employees
1,I paid for a tire rotation that was NOT done properly!! I scuffed my rim w/ red paint and it was on the same rim prior to the visit,Tire rotation service issue,
2,Too expensive,Price too high,
3,It cost $61 for a filter and oil change which was approximately $20 more than our previous visit,Price too high,
4,I have my own mechanic,Competition-prefer local mechanic,
5,Before I went to get my oil change my car was running fine but on the way home my car started acting weird and like it wanted to die,Other service issues,
6,My experience was great until checkout,Other issues,
7,"I have a mechanic that does most repairs, but I use Jiffy lube to do my oil changes",Competition-prefer local mechanic,
8,My car was running fine when I brought it into Jiffy Lube,Other service issues,
9,"All I wanted was an oil change, and being young I feel like Your workers started pulling apart my car to get more money out of me",Customer felt threatened,
10,They over charge,Overcharged - charged more than was agreed on,
11,Air filter replacement cost $50 for a $10 part,Price too high,
12,"Because I was told one thing at the counter by a Mechanic , and when I went to pay it was totally different ,",Overcharged - charged more than was agreed on,
13,"I only do oil changes there, I leave everything else to my mechanic",Competition-prefer local mechanic,
14,To much up sell,Overselling-Pressure to buy,
15,"During the tire rotation process, the maintenance person had me look at my brake pads and rotars on both the front and the back",Tire rotation service issue,
16,I will not return to this location,Other service issues,
17,"Deceptive practices, high prices and a lobby that looks like a dump",Price too high,
18,use a dealership,Competition-prefer other car care chain,
19,Oil was spilled when filter was removed improperly,Oil filter issue,
20,"Service tech offered air filter at $10, still charged me $35",Overcharged - charged more than was agreed on,
21,Didn't change oil like suppose to,Oil or filter not actually replaced,
22,Person filling crankcase with oil spilled the oil from the spout all over the engine block several times,Other service issues,
23,Car doesn't run right,Other service issues,
24,Too expensive for just an oil change,Price too high,
25,Another company handles most of my automotive needs,Competition-prefer other car care chain,
26,Would not accept coupon that was not expired and didn't specify location of coupon,Discount/coupon issue,
27,Would rather go to a full service shop for other maintenance,Competition-prefer other car care chain,
28,I have a friend that is my mechanic for anything beyond an oil change,Competition-prefer local mechanic,
29,"I have a trusted garage that I usually visit, they were not open the day I needed my oil changed",Competition-prefer local mechanic,
30,There was oil all over my engine,Other service issues,
31,You guys almost caught my car on fire,Other service issues,
32,"I go to Jiffy Kube for oil changes only, and I hate it when they try to sell me other services",Overselling-Pressure to buy,
33,Because I take my truck to  my mechanic for mechanical work,Competition-prefer local mechanic,
34,I have a regular mechanic,Competition-prefer local mechanic,
35,Upon arrival I was quoted 30 minutes for a brake pad change-out (front only),Service took too long,
36,Did not have part,Item out of stock,
37,I received a coupon from jiffy lube via email and the manager would not accept it,Discount/coupon issue,
38,i will go for a oil change but not other service,Other service issues,
39,I was quoted $99 and 25-30 minutes to replace 1 belt,Service took too long,Price too high
40,the Jiffylube before this put the cabin filter wrong and damage it  so this shop said they could not replace it,Competition-prefer other car care chain,
41,Go to Toyota dealer,Competition-prefer other car care chain,
42,A lot of upselling,Overselling-Pressure to buy,
43,New car under full warranty,Competition-prefer other car care chain,
44,"I usually get my car needs, including my oil change from Mr",Competition-prefer other car care chain,
45,I do my own routine maintenance,Competition-prefer local mechanic,
46,Service people destroyed several things on my car the last time I was there,Interior/Exterior car damage,
47,I have a regular mechanic that does regular maintenance,Competition-prefer local mechanic,
48,It was a random stop and the experience was nothing like the experience i had at another location in New Jersey,Other issues,
49,Use other shops,Competition-prefer local mechanic,
50,Very poor service,Other service issues,
51,I will use the Subaru dealer,Competition-prefer other car care chain,
52,"I was asked to purchase a number of due maintainence services to which I declined, except a fuel injector cleaner",Overselling-Pressure to buy,
53,Price,Price too high,
54,I have maintenance performed by the Ford Dealer,Competition-prefer other car care chain,
55,Too expensive - I could have gotten two oil changes for what I paid at Midas,Price too high,
56,Expensive,Price too high,
57,Prices are too high,Price too high,
58,It took an hour to change my oil and the shop wasn't even very busy,Service took too long,
59,For othe rmaintenance I take my car to my local mechanic,Competition-prefer local mechanic,
60,THEY GAVE NO INDICATION THAT I WOULD NEED TO WAIT OVER 45 MONIUTES FOR A TIRE ROTATION,Tire rotation service issue,
61,I have a regular mechanic,Competition-prefer local mechanic,
62,WAY overpriced,Price too high,
63,price,Price too high,
64,Basically they told me a price for the air filter change and then when I went to pay the told me it was $15 bucks more,Price too high,
65,Differing opinions from mechanic and friends about necessity of maintenance offered,Competition-prefer local mechanic,
66,nothing i just like to use my mechanic,Competition-prefer local mechanic,
67,Oil change was over $90.00 and I was not told until after the reps already started my oil change,Overcharged - charged more than was agreed on,
68,"I had a scratch on my right side passenger door I know it  wasn't there when I left my house because I was going out of town, and I put my bags in my car and I would have saw when I went home and came back to my car to go out of town that's when I saw the scratch",Interior/Exterior car damage,
69,I go elsewhere for routine maintenance besides oil changes so I don't get ripped off,Competition-prefer other car care chain,
70,Was told the dip stick was stuck and could not be removed to check oil level prior to service,Other service issues,
71,"I will continue to go to the Owings Mills, the location I usually go to because I was not very happy with the Columbia location",Competition-prefer other car care chain,
72,we have a mechanic who works on our cars for other repairs,Competition-prefer local mechanic,
73,The men working on my car did not install my headlights correctly,Other service issues,
74,Just didn't feel like a valued customer,Poor customer service,
75,Have a mechanic in the family,Competition-prefer local mechanic,
76,Changing your prices from 40$ for an oil change to 75$ is a complete rip off,Price too high,
77,Unprofessional staff discussing sex and curing at each other,Unprofessional employees,
78,Maintenance is done by Ford under warranty maintenance done by Ford,Competition-prefer other car care chain,
79,Didn't realize how expensive an oil change is 75 for a regular oil change  with high milage,Price too high,
80,It took 90 minutes for the service,Service took too long,
81,"I use my car dealership for repairs, service other than oil changes",Competition-prefer other car care chain,
82,I got a battery replaced here and left with my entire car shaking,Interior/Exterior car damage,
83,After 6 days of driving  I had to get another oil change after the light in my vehicle indicated that my oil needed to be changed,Oil filter issue,
84,I have a trusted mechanic,Competition-prefer local mechanic,
85,I go to the dealership for more extensive maintence,Competition-prefer other car care chain,
86,There was no other car in the shop but mine and 4 guys managed to mess up my oil change,Oil filter issue,
87,They almost lost my registration card! Spent about 15-20 minutes looking for it--oops,Item missing/stolen,
88,Pricing,Price too high,
89,Bolt holding oil pan stripped previous visit  $314,Overcharged - charged more than was agreed on,
90,I go elsewhere for maintenance or do it myself,Competition-prefer local mechanic,
91,Staff seems inexperienced,Employees not knowledgeable,
92,I had asked them to look at a fuse - and they said they did not do that,Other service issues,
93,I have a private mechanic who works on my cars,Competition-prefer local mechanic,
94,"Other than oil changes, jiffy doesn't offer too many repair services",Other service issues,
95,After my initial service was completed my battery appeared to be weak and drained to the point that I could not start my car,Alignment or Battery service issues,
96,Didn't think they did much more then oil changes,Other service issues,
97,I feel I was duped into buying oil that I had never used and did not want,Misinformation about car/service needs given to customer,
98,They did the oil change wrong and oil leaked all in my engine no one called back,Incorrect oil level/quantity,
99,I get my other services done at a mechanic,Competition-prefer local mechanic,
100,The oil change and small repairs were done well but the man at the service window was VERY misogynistic,Unprofessional employees,
101,"When I returned straight home, went back out to my card had a very flat tire, I took the tore off took it to Firestone they said the value stem had been loosen",Interior/Exterior car damage,
102,"Well, I felt very pressured to buy/add on things that I deemed unnecessary for my vehicle at the time",Overselling-Pressure to buy,
103,Car is relatively new and still under warranty - any further items that need attention will be completed at the dealership,Competition-prefer other car care chain,
104,I cna do it myself,Competition-prefer local mechanic,
105,Not that great,Other service issues,
106,have my own mechanic for that,Competition-prefer local mechanic,
107,Too expensive for the quality,Price too high,
108,I was displeased with the service I received I was in the shop for an hour just for a oil change and I was the only vehicle  there the technician indicated that they didn't have the necessary tools to take the oil filter off and I had to wait for it to be delivered,Service took too long,
109,Because I simply had an oil change and had to return 2 times to get my unresolved issue taken care of,Oil filter issue,
110,The price,Price too high,
111,Window cleaning only half done,Other service issues,
112,Only because I have a regular service station I use but didn't have the time yesterday,Competition-prefer other car care chain,
113,I do not believe your staff has the expertise to do more sophisticated repairs,Employees not knowledgeable,
114,Had a 15% off coupon that I received through email from prior visit that was not honored,Discount/coupon issue,
115,I don't take my cars to Jiffy Lube for anything other than oil changes,Competition-prefer other car care chain,
116,The staff was nice but it took 1 hour from when the car was pulled into the service area to when it was pulled out for a basic oil change,Service took too long,
117,Expensive,Price too high,
118,"Dirty handprints on fender, armrest and windshield",Other service issues,
119,"Stop the hard sell of accessories, I change my own air filter, and other than my oil changes all maintenance work is done by my Ford dealership",Competition-prefer other car care chain,
120,Not sure if Jiffy Lube has BMW parts and trained technicians,Item out of stock,Employees not knowledgeable
121,Way too expensive!,Price too high,
122,I have a car mechanic I go to for other services and maintenance,Competition-prefer local mechanic,
123,Have another shop that takes care of vehicle,Competition-prefer other car care chain,
124,Did not get good service,Poor customer service,
125,I was disappointed in the fact they said they vacuumed by car and cleaned the outside of my windows when it was obvious they did neither,Other service issues,
126,Rude inexperienced crew,Unprofessional employees,Employees not knowledgeable
127,When I got home my car was leaking oil and a gasket had been broken on the old change,Interior/Exterior car damage,
128,I HAVE A REPAIR SHOP FOR ALL MY OTHER REPAIR NEEDS,Competition-prefer other car care chain,
129,I have a mechanic for all my other car needs but I usually come in for oil changes,Competition-prefer local mechanic,
130,I waited over an hour to get a quote for brakes and the amount was outrageous,Service took too long,Price too high
131,I have heard negative stories about Jiffy Lube in the past,Other issues,
132,Jiffy Lube is great for oil changes because they are fast and reliable but I would likely take my car to the Midas across the street for other service or repairs because they are a full service mechanic,Competition-prefer local mechanic,
133,Can get it done cheaper and with less pressure to upgrade to more services,Competition-prefer other car care chain,
134,"Came in for routine oil change prior to leaving for trip,  carpet vacuum and window cleaning are said to be done during this service",Other service issues,
135,Was forced into hugging one of the mechanics,Competition-prefer local mechanic,
136,"They didn't vacume my car barley during my oil change, and they always try to get more money out of you for even basic oil changes",Vacuuming not done propertly,
137,The on board computer systems were not updated to reflect an oil change happened,Oil filter issue,
138,"Workers lied and told me things that I really didn't need at the moment, and expected me to pay for services checking them off without even asking me",Misinformation about car/service needs given to customer,Didn't get customer prior approval to authorize work/expense
139,I felt there was no leadership in the store,Poor customer service,
140,The service team got my vehicle and another vehicle mixed up,Other issues,
141,Price,Price too high,
142,I was treated horribly,Poor customer service,
143,They have things listed down on my bill that havent been done,Overcharged - charged more than was agreed on,
144,I have same mechanic for over 20 years,Competition-prefer local mechanic,
145,HAVE OTHER MECHANIC,Competition-prefer local mechanic,
146,Have two mechanics in family,Competition-prefer local mechanic,
147,Have other mechanic,Competition-prefer local mechanic,
148,"father is a mechanic, but i don't bother him with oil changes",Competition-prefer local mechanic,
149,Have a great mechanic already,Competition-prefer local mechanic,
150,I have a mechanic that I have perform all other maintenance,Competition-prefer local mechanic,
151,"The prices are higher here than the jiffy lube in Albany, NY",Price too high,
152,I opened my glove compartment today and it slammed open,Interior/Exterior car damage,
153,I do all my major maintenance at the dealership,Competition-prefer other car care chain,
154,My tires were not inflated to the proper pressure,Other service issues,
155,Employees were unkept and rude,Unprofessional employees,
156,Pretty grim group at this location,Unprofessional employees,
157,I have used various JL's over 3 decades and this may ne the last time I do,Other issues,
158,I use my dealer for repairs,Competition-prefer other car care chain,
159,I have a garage that I go to for other work,Competition-prefer other car care chain,
160,i don't usually go to Jiffy Lube for service,Competition-prefer other car care chain,
161,take to my mechaninc,Competition-prefer local mechanic,
162,Teach the people who to check tire pressure and how to tighten the oil plug lol,Employees not knowledgeable,
163,Have a mechanic I trust,Competition-prefer local mechanic,
164,anything beyond an oil change I get my son-in-law's father's shop to do,Competition-prefer local mechanic,
165,A family mechanic takes care of other maintenance or work needed,Competition-prefer local mechanic,
166,It goes to the Dealership manufacturer,Competition-prefer other car care chain,
167,The opaque pricing process leads to miscommunication and suspicion,Communication,
168,(1) I have a mechanic that I use for all maintenance,Competition-prefer local mechanic,
169,I went there for an inspection and i failed because supposedly my struts were loose and a lug nut couldnt be taken off,Other issues,
170,They charged for items after the fact,Overcharged - charged more than was agreed on,
171,Have a regular garage we use for most things,Competition-prefer other car care chain,
172,"I go to a mechanic for that, but to Jiffy Lube for oil changes",Competition-prefer local mechanic,
173,Dealer service and parts,Competition-prefer other car care chain,
174,Have a personal mechanic,Competition-prefer local mechanic,
175,"I don't have a Jiffy Lube in my hometown (Canton, GA) and use a auto shop for my regular maintenance",Location,Competition-prefer other car care chain
176,My 1990 Saab was nearly destroyed by a service man who didn't know how to drive stick shift,Interior/Exterior car damage,Employees not knowledgeable
177,Don't trust jiffy lube to do anything else besides oil changes,Untrustworthy\Mistrust,
178,because the oil change was more then the last two times I was there also the next morning when I went to start up my car it wouldn't start,Oil filter issue,
