,index,Review,Label
0,0,The man was a lier and he was rude ,Unprofessional employees
1,1,They were not able to accept my coupon from off line,Discount/coupon issue
2,2,This Jiffy Lube always tries to upsell especially to women,Female felt taken advantage of
3,3,Don't like the feeling of being push to add other services to my oil change by keep asking the same questions after I have already said No,Overselling-Pressure to buy
4,4,"Upon arrival, and knowledgeable of the routine desire to up sale additional products, I mentioned that I only wanted an oil change and no other up sales in product",Overselling-Pressure to buy
5,5,Too expensive,Overcharged - charged more than was agreed on
6,6,I can't prove it but I do not believe the fuel injection services I paid for was performed,Other service issues
7,7,"the guys broke a piece off my oil filter & never told me & my oil light would'nt go off, they just rushed me out the door",Oil filter issue
8,8,Had to wait about 5 minutes after my car was finish,Service took too long
9,9,The prices were ridiculous and the people that work there are very ghetto,Price too high
10,10,"My coupons were not used, was told i could use them before services work done to my car however the manager said that I couldn't use them after the service was done and I was expecting to have a 19",Discount/coupon issue
11,11,I was asked if I had a coupon for the oil change & I told the salesman I had one for $19,Discount/coupon issue
12,12,"On sat morning, the mecanic broke a part in my car while doing my oil change ",Interior/Exterior car damage
13,13,I had 4 dollars in quarters in my console to wash my clothes and when I got in my car they were all gone,Item missing/stolen
14,14,"They charged me $66 for an oil change!  Told me if I didn't get the synthetic blend, ny engine could fail!  My Hoonda Pilot gets its oil changed by Homda, but I thought I'd save time and try JL",Price too high
15,15,The price your company charges for an oil change is ridiculous,Overcharged - charged more than was agreed on
16,16,I broke down due to their negligence while changing the oil in my car,Other service issues
17,17,I feel like I'm being over priced,Price too high
18,18,First oil change the left my oil drain bolt loose and I was leaking oil for a week before noticing,Oil filter issue
19,19,The price of the oil change,Price too high
20,20,For a simple oil change and tire rotation I paid $95 with a military discount! I have never in all my years paid anywhere close to that,Price too high
21,21,It seems as if they rather you pay full price then to use a coupon,Discount/coupon issue
22,22,Manger there did not feel trustworthy,Unprofessional employees
23,23,Lacks customer service,Poor customer service
24,24,I found it ironic that the manager's name is Sunny because his disposition is anything but,Unprofessional employees
25,25,They told me my signal was working when it wasn't,Misinformation about car/service needs given to customer
26,26,Price point is higher than competition  and one hour to change oil with only three vehicles is too long definitely not jiffy by definition,Competition-prefer other car care chain
27,27,I waited an hour and a half,Service took too long
28,28,I was the first customer and I always thought that it was first come first serve but the guy was working on my car and the second customer,Poor customer service
29,29,Not to the one I went to in Downey California service was not good it was not crowded and it took almost 2 hours the staff was small and sloppy one of the workers said they got a new manager about 2 weeks ago and they're trying to work The Kinks out,
30,30,"Cause when I went there they said they will not refill my  fluids  With in 3,000 miles your  policy states u do",Misinformation about car/service needs given to customer
31,31,The service was poor the said if my fluids need to be refilled they wouldn't refill them then they charges my 8 for 2 quarts of anti  freeze,Poor customer service
32,32,Left oil pan screw loose and spilled oil every where,Oil cap issue
33,33,"The service was terrible, I was told one total and when I cashed out it was a different amount",Poor customer service
34,34,The price $50 for F150 03 too much,Price too high
35,35,The service worker overcharged me with both adding on services and by not adding a 15 dollar coupon I had,Overcharged - charged more than was agreed on
36,36,took over an hour even though they said it would take less than 30 minutes,Service took too long
37,37,Oil change over price,Price too high
38,38,"I  had received an email discount coupon and went to Jiffy Lube and showed them the coupon, an employee told me to show it after my car was serviced",Discount/coupon issue
39,39,"Takes 2 hours to get an oil change, computer timed me at only 30 min wait time",Service took too long
40,40,I inquired about the 50% off EMT/police/firefighter discount special that I noticed being advertised on the TV (in the Jiffy Lube eating area) while waiting to get oil changed,Discount/coupon issue
41,41,"The person who waited on me, Dave was very rude and unfriendly",Unprofessional employees
42,42,Services paid for were not completed,Poor customer service
43,43,The men working on my cat killed my battery,Interior/Exterior car damage
44,44,"The $4.99 charge to ""top off"" radiator fluid",Price too high
45,45,I had to return because my car was leaking oil,Oil filter issue
46,46,Bad service,
47,47,They claimed my tires were guaged and inside vacuumed,Misinformation about car/service needs given to customer
48,48,The verbal promise and written check list did not meet up with the actual facts,Misinformation about car/service needs given to customer
49,49,Management team is very unprofessional,Unprofessional employees
50,50,they charge me too much for an oil change,Overcharged - charged more than was agreed on
51,51,"I went to jiffy lube because the lines everywhere else were long, but I found out why",Competition-prefer other car care chain
52,52,"The service is overpriced, the work was sloppy, and when they checked my tires which were fine when I came in, I know because I have a low tire light that comes on anytime the pressure drops more then a pound, they let air out of the tires which caused the light to come on the next morning, I had to refill all of my tires because all of them  were 6-7 pounds below pressure",Overcharged - charged more than was agreed on
53,53,They told me they would vacuume the floors and wash the Windows they didn't vacuume the floors in the back of the car and they didn't wash the Windows on the inside,Misinformation about car/service needs given to customer
54,54,They were very busy and understaffed,Poor customer service
55,55,Excess oil was not cleaned up,Oil cap issue
56,56,"I was talked into your high mileage, expensive oil change",Overselling-Pressure to buy
57,57,Was told something that was not true to get me to do a service that was not needed,Misinformation about car/service needs given to customer
58,58,The technician did not put my oil cap back on and oil leaked all over my engine causing $600 worth of damage at the dealership,Oil cap issue
59,59,The men were rude and got upset when I corrected him on the oil that was recommended by the manufacturer,Unprofessional employees
60,60,They did not have the oil I needed for my particular vehicle and put something other than what my vehicle requires for oil,Item out of stock
61,61,"All the additional fee and playing woman with this need to be fix that need to be fix, you want to be able to trust the people working on your car at Nifty lube you cant",Misinformation about car/service needs given to customer
62,62,My visit was quoted to take 30-45 minutes by the employee who took my keys,Service took too long
63,63,"Poor service, long wait for easy jobs",Service took too long
64,64,Several things ,Other service issues
