,index,Review,Label
0,0,Good service for years,Good customer service
1,1,All the staff were very responsive to meetig the needs I addressed,Responsible
2,2,it was very fast,Fast/Quick/Speedy/Timely
3,3,"Quick, friendly great vacume job!!",Friendly
4,4,They were extremely friendlu and efficient,Friendly
5,5,I love the quick service and complimentary vacuum,Fast/Quick/Speedy/Timely
6,6,"The friendly, fast, and efficient service!",Friendly
7,7,"The guys at the Woodlawn location are always nice, fast, and don't try to sell me extra services",Good customer service
8,8,"close by work, prior experience with the jiffy lube I took the car to,  have been using this jiffy lube for several years",Convenient
9,9,friendly quick efficient service!,Friendly
10,10,"I have used this location for more than 15 years, and experienced the change in management",Convenient
11,11,good service and good exam of my car,Good customer service
12,12,Staff was friendly and provided prompt service,Friendly
13,13,Fast and great customer service,Good customer service
14,14,"Great job by workers, great communication, in and out quick!",Good customer service
15,15,Done very fast but professional,Professional
16,16,The quick service,Fast/Quick/Speedy/Timely
17,17,"They were coutious, friendly, knowledgeable and fast",Good customer service
18,18,The service was good,Good customer service
19,19,Love me some D$ and crew!,Good customer service
20,20,The experience with them has always been great! They expain everything about what you need and what they recommend,Knowledgeable employees
21,21,Courtesy of the staff,Friendly
22,22,I know what to expect and the cost for service,Cost
23,23,Fast service,Fast/Quick/Speedy/Timely
24,24,Quick close and pleasant people,Friendly
25,25,polite people and good service,Friendly
26,26,quick fast service,Fast/Quick/Speedy/Timely
27,27,"the time, in and out I like that",Fast/Quick/Speedy/Timely
28,28,"Prompt, friendly service",Fast/Quick/Speedy/Timely
29,29,Quick and fair,Good customer service
30,30,Location,Convenient
31,31,Great staff! Super helpful and friendly very knowledgable and trustworthy I had a five star experience with this location and will definitely be back,Friendly
32,32,speed,Fast/Quick/Speedy/Timely
33,33,them manager went over and above  to help me with my AC,Good customer service
34,34,Very good service everything was great,Good customer service
35,35,The fast service the nice And efficient workers,Good customer service
36,36,"There was a routine service that wasn't completed, my windows were cleaned",Good customer service
37,37,It's a convenient location,Convenient
38,38,Great service and good recommendations,Good customer service
39,39,I trust that they will be quick and do the job right,Responsible
40,40,Was able to be seen quickly and car was finished very quickly as well however i am not sure what other types of vehicle maintence services are offered at your facility,Fast/Quick/Speedy/Timely
41,41,I like going to the same place,Convenient
42,42,The service is great,Good customer service
43,43,Yes,Good customer service
44,44,They take care of my car each time,Good customer service
45,45,The speed in which the job is done,Fast/Quick/Speedy/Timely
46,46,It's convienant and affordable,Convenient
47,47,Easy and fast service,Fast/Quick/Speedy/Timely
48,48,"The oil change technicians are very friendly, knowledgeable, and  they get you out in a ""jiffy""",Knowledgeable employees
49,49,Good service and friendly people,Good customer service
50,50,I was satisfied overall,Good customer service
51,51,The way the employee treatment ,Good customer service
52,52,Excellent,Good customer service
53,53,Courteous informative,Good customer service
54,54,Quick & professional service,Professional
55,55,The service was just what I expected,Good customer service
56,56,Yes,Good customer service
57,57,liked the service I have been given,Good customer service
58,58,fast service,Fast/Quick/Speedy/Timely
59,59,Quick fast and easy very comforting experience,Fast/Quick/Speedy/Timely
60,60,The service is amazing and the best customer service,Good customer service
61,61,All the employees were very helpful,Professional
62,62,Fast and good service,Fast/Quick/Speedy/Timely
63,63,Speedy service,Fast/Quick/Speedy/Timely
64,64,"convenience, continuity",Convenient
65,65,Quick and efficient and friendly plus they give you some useful tips on how to maintain your vehicle,Fast/Quick/Speedy/Timely
66,66,That was right on point very generous and very knowledgeable,Knowledgeable employees
67,67,"I go to this store, they listen, once I tell them I don't want any recommendations , they leave me alone",Responsible
68,68,The Staff Was Friendly And Knowledgeable!!,Friendly
69,69,I always have received prompt and courteous service from Jiffy Lube,Good customer service
70,70,Quick and thorough service,Good customer service
71,71,They always give me great service,Good customer service
72,72,"I love the techicians they are nice, friendly and knowledgable",Friendly
73,73,I like that it's quick and easy but I prefer a shop down the street,Convenient
74,74,"Dwayne and the team were professional and pleasant, Great customer service, though the wait was 45 mins",Good customer service
75,75,The manager Brian is so professional and personal with your needs,Professional
76,76,Service people are great and service is honest and fast,Good customer service
77,77,I always have a great experience at that location,Good customer service
78,78,Brian and his team always provide top-notch service and go the second mile to assure complete satisfaction,Good customer service
79,79,Everyone was friendly and informative and helpful,Friendly
80,80,Customer service was great,Good customer service
81,81,"Quick,friendly, understanding",Friendly
82,82,Just for the fact that I didn't need a appt and my car was taken care of in a good amount of time,Good customer service
83,83,Quick-service along with knowledgeable technicians,Fast/Quick/Speedy/Timely
84,84,Quick service,Fast/Quick/Speedy/Timely
85,85,Been going there for years,Convenient
86,86,Thoroughness and speed of service,Fast/Quick/Speedy/Timely
87,87,Quick and reasonable service,Good customer service
88,88,It wad very good,Good customer service
89,89,good service,Good customer service
90,90,"Organize, Precise and Efficient",Fast/Quick/Speedy/Timely
91,91,I've been a regular customer for all my cars at the Jiffy Lube on Rt,Good customer service
92,92,Staff seen Knowledgeable and courteous,Knowledgeable employees
93,93,Super quick service,Fast/Quick/Speedy/Timely
94,94,The staff at the shop was very helpful to me and my car was checked out very quickly and In a very safe way,Friendly
95,95,Customer for over 5 years,Convenient
96,96,"Being a senior woman, I believe that I was treated fairly, not taken advantage of",Good customer service
97,97,"The young man that helped me couldn't have been nicer, faster or more helpful!  Great customer service!!!",Friendly
98,98,Great! Fast!,Fast/Quick/Speedy/Timely
99,99,Angel provided great customer service,Good customer service
100,100,Great staff Angel and the team are awesome!,Good customer service
101,101,Angel and the other tech were extremely polite and took care of all my requests!,Friendly
102,102,No wait time,Fast/Quick/Speedy/Timely
103,103,"kindness, courtesy and good service",Good customer service
104,104,They were really fast and nice to deal with,Fast/Quick/Speedy/Timely
105,105,"Have been a customer for about 10 years and equally happy with the service, especially my location!",Good customer service
106,106,Satisfaction with outcome,Good customer service
107,107,Very polite employees,Friendly
108,108,"The staff was prompt, courteous, and professional",Friendly
109,109,I was in and out quickly and the repair job was good,Fast/Quick/Speedy/Timely
110,110,VERY GOOD SERVICE,Good customer service
