,index,Review,Label
0,The man was a liar and he was rude ,Untrustworthy\Mistrust,Unprofessional employees
1,They were not able to accept my coupon from off line,Discount/coupon issue,
2,This Jiffy Lube always tries to upsell especially to women,Overselling-Pressure to buy,Female felt taken advantage of
3,"I was sent a 15% off coupon and the store I visited gave me a hard time using it, stating it doesn't accept when the email had the stores address on it to use it",Discount/coupon issue,
4,Don't like the feeling of being push to add other services to my oil change by keep asking the same questions after I have already said No,Overselling-Pressure to buy,
5,"My brother-in-law is a Jeep mechanic, I own a Jeep",Other issues,
6,Too expensive,Price too high,
7,I can't prove it but I do not believe the fuel injection services I paid for was performed,Untrustworthy\Mistrust,
8,"the guys broke a piece off my oil filter & never told me & my oil light would'nt go off, they just rushed me out the door",Interior/Exterior car damage,Oil service light not reset 
9,The prices were ridiculous and the people that work there are very ghetto,Price too high,Unprofessional employees
10,"My coupons were not used, was told i could use them before services work done to my car however the manager said that I couldn't use them after the service was done and I was expecting to have a 19.99 dollar oil change",Discount/coupon issue,
11,It took to long,Service took too long,
12,"On sat morning, the mecanic broke a part in my car while doing my oil change ",Interior/Exterior car damage,
13,I had 4 dollars in quarters in my console to wash my clothes and when I got in my car they were all gone,Item missing/stolen,
14,"They charged me $66 for an oil change!  Told me if I didn't get the synthetic blend, ny engine could fail!  My Hoonda Pilot gets its oil changed by Homda, but I thought I'd save time and try JL",Price too high,Misinformation about car/service needs given to customer
15,Very expensive,Price too high,
16,The price your company charges for an oil change is ridiculous,Price too high,
17,I broke down due to their negligence while changing the oil in my car,Interior/Exterior car damage,
18,First oil change the left my oil drain bolt loose and I was leaking oil for a week before noticing,Interior/Exterior car damage,
19,The price of the oil change,Price too high,
20,For a simple oil change and tire rotation I paid $95 with a military discount! I have never in all my years paid anywhere close to that,Price too high,Discount/coupon issue
21,It seems as if they rather you pay full price then to use a coupon,Discount/coupon issue,
22,Manger there did not feel trustworthy,Untrustworthy\Mistrust,
23,"Poor customer service, poor vacuuming",Poor customer service,Vacuuming not done propertly
24,Lacks customer service,Poor customer service,
25,Although the guy greeted me and the staff was cordial the atmosphere was not friendly and willing to assist,Unprofessional employees,
26,I found it ironic that the manager's name is Sunny because his disposition is anything but,Unprofessional employees,
27,Drivers side floor mat had grease marks all over it,Interior/Exterior car damage,
28,I have a regular service shop for mechanical work,Competition-prefer local mechanic,
29,They told me my signal was working when it wasn't,Misinformation about car/service needs given to customer,
30,Price point is higher than competition  and one hour to change oil with only three vehicles is too long definitely not jiffy by definition,Price too high,Service took too long
31,My wife was charged twice for a tire rotation -- the $21.99 charge appears twice on our invoice,Female felt taken advantage of,Overcharged - charged more than was agreed on
32,Use services at dealer,Competition-prefer dealer,
33,I waited an hour and a half,Service took too long,
34,Took over an hour for service and they wrote the wrong mileage down for when I need to come back,Service took too long,
35,"this particular location was very slow, and they had  left the oil filter off",Service took too long,Oil filter issue
36,I was the first customer and I always thought that it was first come first serve but the guy was working on my car and the second customer,Later-arriving customers served ahead of me,
37,Not to the one I went to in Downey California service was not good it was not crowded and it took almost 2 hours the staff was small and sloppy one of the workers said they got a new manager about 2 weeks ago and they're trying to work The Kinks out,Service took too long,Unprofessional employees
38,"Cause when I went there they said they will not refill my  fluids  With in 3,000 miles your  policy states u do","Fluids not topped off (ie engine coolant, washer fluid)",
39,The service was poor the said if my fluids need to be refilled they wouldn't refill them then they charges my 8 for 2 quarts of anti  freeze,Poor customer service,"Fluids not topped off (ie engine coolant, washer fluid)"
40,Left oil pan screw loose and spilled oil every where,Drain plug-pan issues,
41,"The service was terrible, I was told one total and when I cashed out it was a different amount",Poor customer service,Overcharged - charged more than was agreed on
42,Took more than 45 mins,Service took too long,
43,"They handled the oil aspect of the signature service well, but forgot to clean the exterior windows as promised",Vacuuming not done propertly,
44,The price $50 for F150 03 too much,Price too high,
45,The service worker overcharged me with both adding on services and by not adding a 15 dollar coupon I had,Overcharged - charged more than was agreed on,Discount/coupon issue
46,Number of things I noticed from my visit,Poor customer service,
